Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
431,h 23 Urs. Maj,9,23.7,63,30,09h30m51.8161s,+63d03m46.0927s,63,845,3.8,FO,0.114,0.12,0.028,6.0,18.0,3.2,19,,2253.00,,09 23 38.9,+63 29 57,3.67,F0   IV,23 UMa,0.111,76,0.0395,7.6,G,09 31 31.7,+63 03 43
432,Lal 20881,10,46.1,20,49,10h51m22.7258s,+20d17m11.6685s,21,2247,8.1,F5,- .241*,-0.255,0.021,9.0,25.0,2.6,15,*,2525.00,,10 46 07.2,+20 49 12,8.23,F8   sd,CI 18-1307,0.527,210,0.0219,10.6,G,10 51 28.0,+20 16 38
433,Groom 1930,12,44.3,60,52,12h48m19.9432s,+60d19m15.9541s,61,1320,5.9,F5,+ .096*,0.126,0.034,11.0,32.0,2.8,17,,2946.00,,12 44 18.3,+60 51 55,5.85,F5   V,Groom 1930,0.109,96,0.0404,13.2,G,12 48 39.4,+60 19 11
434,Lal 25288,13,37.3,8,54,13h41m58.8384s,+08d23m41.361s,9,2798,6.1,F5,- .378*,-0.368,0.032,9.0,25.0,2.7,19,*,3128.00,,13 37 16.4,+08 53 44,6.16,F3   Vp,,0.387,257,0.0354,13.9,,13 42 12.7,+08 23 18
435,Lal 26289,14,18.1,1,43,14h23m05.3877s,+01d15m40.6912s,1,2920,6.3,GO,+ .201*,0.16,0.061,7.0,16.0,2.3,15,,3264.00,,14 18 08.3,+01 42 35,6.27,G1   V,G 065-047,0.528,155,0.0599,6.8,G,14 23 15.2,+01 14 29
436,A 570 (Mean),14,27.9,27,7,14h31m26.3048s,+26d40m25.5188s,27,2388,5.9,A2,-0.07,-0.047,0.006,8.0,22.0,2.8,17,,3293.00,,14 27 54.6,+27 07 10,6.01,A7   Vn,A 570,0.069,250,0.0136,5.9,G,14 32 20.2,+26 40 38
437,H 2752 (Br),14,47.8,45,1,14h50m38.2014s,+44d36m15.1076s,45,2228,8,F5,,0.041,-0.034,10.0,28.0,2.8,16,,3362.00,,14 47 48.0,+45 01 00,8.00,F5   d,H 2752,0.041,,-0.0297,15.4,,14 51 25.9,+44 36 20
438,Lal 27742,15,8.3,19,39,15h12m32.531s,+19d16m27.4841s,,,6.8,G6,-0.599*,-0.569,0.026,7.0,17.0,2.5,16,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
439,Lal 27743,15,8.3,19,40,15h12m32.4988s,+19d17m27.4823s,,,7.6,G7,- .591*,-0.572,0.024,7.0,15.0,2.3,16,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean (Sigma 1919).,,,,,0,0,19,2939,6.4,G5,,,0.025,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
