No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
839,Theta 2 Serp,18,51.3,4,4,18h55m57.9965s,+04d11m43.5889s,4,3916.0,5.4,A5,0.049,0.046,0.055,0.009,8; 30,10.6,28,*,4387.00,A,18 51 14.8,+04 04 24,4.62,0.17,A5   V,THE1 Ser,0.056,56,0.0282,5.2,F,18 56 13.1,+04 12 13
,,,,,,,,,,,,,,,,,,,*,4387.00,B,18 51 16.2,+04 04 19,4.98,0.20,A5   Vn,THE2 Ser,0.067,66,,,,18 56 14.6,+04 12 08
,Mean,,,,,0,0,,,,,,,,0.021,5,,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
840,Epsilon Aqil,18,55.1,14,56,18h59m32.6854s,+15d04m15.7679s,14,3736.0,4.2,K0,0.098,-0.06,-0.058,0.024,7; 28,10.8,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
841,21 Aqil,19,8.7,2,7,19h13m02.492s,+02d17m07.1565s,2,3824.0,5.1,B8,0.007,0,0.006,0.002,6; 23,10.8,27,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
842,53 Drac,19,9.8,56,41,19h10m52.844s,+56d51m02.3315s,56,2209.0,5.2,K0,0.058,0.043,0.038,0.007,6; 25,10.2,30,,4484.00,,19 09 47.0,+56 41 19,5.12,1.01,G8   III,53 Dra,0.059,36,0.0105,9.8,,19 11 40.5,+56 51 33
843,26 Aqil,19,15.2,-5,36,19h20m19.5397s,-05d24m53.6129s,-5,4936.0,5.1,G5,0.113,0.106,0.113,0.026,5; 21,10.4,30,*,4519.00,,19 15 12.5,-05 36 09,5.01,0.92,G8   III-*,26 Aql,0.123,68,0.0283,7.2,G,19 20 32.8,-05 24 56
844,36 Aqil,19,25.4,-3,0,19h30m13.6598s,-02d47m32.1787s,-3,4612.0,5.2,Ma,0.018,0.012,0.02,0.025,6; 25,10.4,29,,4560.00,,19 25 26.0,-02 59 50,5.03,1.75,M1   III,36 Aql,0.021,113,0.0290,8.6,G,19 30 39.8,-02 47 20
845,Lal 37728,19,43.9,27,37,19h47m04.3591s,+27d51m46.9154s,27,3516.0,6.8,G5,0.23,-0.04,-0.007,0.023,5; 19,11,27,,4659.00,,19 43 56.4,+27 36 54,6.88,0.63,G2   III,,0.219,359,0.0252,8.4,,19 48 00.9,+27 52 10
846,68 Drac,20,9.9,61,47,20h10m35.8898s,+62d04m55.6336s,61,1983.0,5.7,F5,0.158,0.137,0.119,0.024,5; 18,10,27,,4807.00,,20 09 56.5,+61 46 32,5.75,0.47,F5   V,68 Dra,0.145,56,0.0304,7.1,G,20 11 34.8,+62 04 43
