Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
,Mean,,,,,,,,,,0.014,7.0,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
73,Xi Cygni,21,1,43,32,43,3800,3.9,K5,0.11,-0.008,6.0,16.0,,5074.00,,21 01 17.5,+43 31 43,3.72,1.65,K4.5 Ib-II,XI Cyg,0.007,52,0.0055,5.9,G,21 04 55.8,+43 55 40
74,Tau Cygni,21,11,37,37,37,4240,3.8,F0,0.45,0.058,10.0,29.0,*,5114.00,A,21 10 47.8,+37 37 06,3.72,0.39,F2   IV,TAU Cyg,0.465,20,0.0552,5.0,G,21 14 47.4,+38 02 44
75,Iota Pegasi,22,2,24,51,24,4533,4,F5,0.3,0.067,8.0,26.0,*,5345.00,,22 02 21.2,+24 51 23,3.76,0.44,F5   V,IOT Peg,0.300,85,0.0880,5.1,F,22 07 00.6,+25 20 41
76,Epsilon Cephei,22,11,56,33,56,2741,4.2,A5,0.45,0.027,11.0,27.0,*,5392.00,,22 11 21.0,+56 32 40,4.19,0.28,F0   IV,EPS Cep,0.447,82,0.0402,5.8,G,22 15 02.1,+57 02 37
77,5 Lacertae,22,25,47,12,46,3719,4.6,K0,0.02,0,8.0,25.0,*,5441.00,,22 25 21.6,+47 11 41,4.36,1.68,"M0+B8II,V",5 Lac,0.004,348,0.0042,10.7,G,22 29 31.8,+47 42 24
78,Mu Pegasi,22,45,24,4,23,4615,3.7,K0,0.16,0.043,6.0,18.0,,5528.00,,22 45 10.4,+24 04 24,3.48,0.93,G8+  III,MU Peg,0.151,104,0.0376,8.6,P,22 50 00.1,+24 36 05
79,Beta 382,22,49,44,13,43,4331,5.6,A0,0.013,0.013,12.0,31.0,,5551.00,,22 49 11.4,+44 13 02,5.81,0.26,"A3+F6Vm,V",,0.013,247,0.0161,18.2,,22 53 40.0,+44 44 57
80,Phi Pegasi,23,47,18,34,18,5231,5.2,Ma,0.05,0.009,8.0,19.0,,5771.00,,23 47 23.9,+18 33 53,5.08,1.60,M2.5 IIIb,PHI Peg,0.032,189,0.0123,12.5,,23 52 29.3,+19 07 12
81,Rho Cassiopeiae,23,49,56,57,56,3111,4.8,F8p,0.004,0.013,11.0,26.0,,5775.00,,23 49 23.0,+56 56 34,4.54,1.22,G2v  O,RHO Cas,0.005,310,0.0217,7.6,G,23 54 23.0,+57 29 57
82,Alpha Arietis,2,2,22,59,22,306,2.2,K2,0.24,0.029,0.006,0.017,,436.00,,02 01 32.0,+22 59 22,2.00,1.15,K2-  IIIC*,ALP Ari,0.239,127,0.0508,2.2,G,02 07 10.4,+23 27 44
83,6 Persei,2,7,50,36,50,481,5.4,G5,0.39,7,7.0,22.0,*,449.00,,02 06 56.9,+50 36 04,5.31,0.93,G8   III:,,0.384,115,0.0105,4.2,G,02 13 36.3,+51 03 56
84,73 Ceti,2,23,8,1,7,388,4.3,A0,0.04,17,9.0,26.0,,501.00,,02 22 50.4,+08 00 42,4.28,-0.06,B9   III,XI2 Cet,0.038,96,0.0276,10.9,G,02 28 09.5,+08 27 35
85,86 Gamma Ceti,2,38,2,49,2,422,3.6,A0,0.21,14,8.0,20.0,,554.00,A,02 38 07.0,+02 48 52,3.47,0.09,A3   V,GAM Cet,0.207,224,0.0474,4.9,G,02 43 18.0,+03 14 09
,,,,,,,,,,,,,,,554.00,B,02 38 06.0,+02 49 00,6.30,,F3   d,,,,,,,02 43 18.0,+03 14 31
86,87 Mu Ceti,2,40,9,42,9,359,4.4,A5,0.29,28,7.0,20.0,,558.00,,02 39 32.0,+09 41 31,4.27,0.31,F0   IV,MU Cet,0.284,96,0.0454,8.6,F,02 44 56.5,+10 06 51
87,17 Persei,2,45,34,39,34,527,4,K5,0.08,5,10.0,28.0,,581.00,,02 45 20.9,+34 38 54,4.53,1.56,K5+  III,17 Per,0.059,171,0.0021,10.7,G,02 51 30.8,+35 03 35
88,27 Kappa Persei,3,3,44,29,44,631,4.7,K0,0.24,32,7.0,19.0,*,650.00,,03 02 44.8,+44 28 42,3.80,0.98,K0   III,KAP Per,0.218,129,0.0308,9.4,G,03 09 29.6,+44 51 27
89,B. D. + 33  619,3,12,33,51,33,619,4.9,K0,0.015,7,6.0,17.0,,683.00,,03 12 28.3,+33 51 24,4.82,1.49,K2   IICN*,,0.004,141,0.0113,8.2,G,03 18 43.7,+34 13 21
90,35 Sigma Persei,3,24,47,39,47,843,4.6,K0,0.021,8,8.0,22.0,,726.00,,03 23 31.2,+47 39 00,4.36,1.35,K3   III,SIG Per,0.023,11,0.0009,9.9,F,03 30 34.5,+47 59 43
91,74 Epsilon Tauri,4,23,18,58,18,640,3.6,K0,0.12,23,10.0,30.0,*,987.00,,04 22 46.5,+18 57 31,3.53,1.01,G9.5 IIIC*,EPS Tau,0.114,108,0.0175,12.4,G,04 28 37.0,+19 10 49
92,32 Nu Aurigae,5,45,39,7,39,1429,4.2,K0,0.007,17,7.0,21.0,,1336.00,,05 44 33.4,+39 07 09,3.97,1.13,G9.5 III*,NU Aur,0.008,326,0.0172,8.9,G,05 51 29.3,+39 08 54
93,Iota Geminorum,5,58,23,16,23,1170,4.3,G5,0.11,20,9.0,27.0,*,1398.00,,05 58 02.4,+23 16 07,4.16,0.82,G7   III,1 Gem,0.101,183,0.0126,4.8,F,06 04 07.2,+23 15 47
94,8 Monocerotis,6,18,4,39,4,1236,4.5,A5,0.009,16,6.0,19.0,,1482.00,A,06 18 28.0,+04 38 37,4.44,0.18,A5   IV,EPS Mon,0.024,296,0.0264,6.5,G,06 23 46.0,+04 35 34
,,,,,,,,,,,,,,,1482.00,B,06 18 28.4,+04 38 49,6.72,0.45,F5   V,EPS Mon,0.026,245,,,,06 23 46.4,+04 35 43
95,43 Zeta Geminorum,7,58,20,43,20,1687,var.,G0,0.007,-5,10.0,25.0,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
96,54 Lambda Geminorum,7,12,16,43,16,1443,3.6,A2,0.07,33,9.0,24.0,,1708.00,M,07 12 20.7,+16 43 15,3.58,0.11,A3   V,LAM Gem,0.062,229,0.0455,6.6,G,07 18 05.5,+16 32 25
97,6o Iota Geminorum,7,20,28,0,28,1385,3.9,K0,0.14,35,8.0,25.0,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
98,17 Beta Cancri,8,11,9,30,9,1917,3.8,K2,0.07,-3,9.0,26.0,,1967.00,,08 11 05.5,+09 29 37,3.52,1.48,K4   IIIB*,BET Cnc,0.069,221,0.0127,4.5,F,08 16 30.9,+09 11 07
