Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
135,Beta Trianguli,02 4 0.00,+34 31 0.00,02 09 32.5,+34 59 14,+34˚381,3.1,A5,6,6;18,,17,8.2,439.0--,
136,54 Chi Orionis,05 48 0.00,+20 15 0.00,,,+20˚1162,4.6,F8,96,10;29,,,,0.00,
137,B. D. + 13  1036,05 50 0.00,+13 55 0.00,05 56 03.4,+13 55 29,+13˚1036,6.5,G5,83,8;20,,49,5.7,1365.0--,
138,71 Orionis,06 9 0.00,+19 11 0.00,06 14 47.1,+19 08 58,+19˚1270,5.2,F5,34,7;21,,2,16.2,1445.0--,
139,Kappa Aurigae,06 9 0.00,+29 32 0.00,06 15 22.7,+29 29 52,+29˚1154,4.4,K0,10,8;23,,25,8.8,1448.0--,
140,56 Aurigae,06 40 0.00,+43 41 0.00,06 46 44.3,+43 34 38,+43˚1595,5.3,F5,72,7;20,,68,8.3,1571.0--,
141,B. D. + 21  1596,07 21 0.00,+21 44 0.00,07 26 50.2,+21 32 08,+21˚1596,6.4,F5,35,7;22,,29,3.7,1749.0--,
142,10 Ursa Majoris,08 54 0.00,+42 11 0.00,09 00 38.3,+41 46 57,+42˚1956,4.1,F5,67,6;18,,66,6.5,2153.0A,
143,Mu Leonis,09 47 0.00,+26 29 0.00,09 52 45.8,+26 00 24,+26˚2019,4.1,K0,20,9;23,,22,10.2,2338.0--,
144,B. D. + 4  3195,16 26 0.00,+4 26 0.00,,,+4˚3195,7.3,F6,29,6;15,,,,0.00,
145,41 Herculis,16 40 0.00,+6 17 0.00,16 44 59.9,+06 05 16,+6˚3288,6.7,G5,28,8;20,,28,7.8,3805.0A,
146,B. D. + 63  1439,18 34 0.00,+63 37 0.00,18 35 09.3,+63 41 46,+63˚1439,8.1,G5,23,8;19,,14,8.7,4297.0--,
147,B. D + 10  3665,18 44 0.00,+10 39 0.00,18 48 29.2,+10 44 44,+10˚3665,8,K0,45,11;25,,64,5.6,4340.0--,
148,B. D. + 17  3779,18 52 0.00,+17 59 0.00,18 56 06.0,+18 06 18,+17˚3779,5.7,AO,None,8;21,,3,12.5,4390.0--,
149,Iota Cygni,19 27 0.00,+51 31 0.00,19 29 42.3,+51 43 46,+51˚2605,3.9,A2,-6,7;18,,1,8.9,4570.0--,
150,Omicron1 Cygni,20 10 0.00,+46 31 0.00,20 13 17.9,+46 48 56,+46˚2881,5,A2,-11,10;30,,10,10.7,4810.0--,
151,Omicron2 Cygni,20 10 0.00,+46 26 0.00,20 13 37.8,+46 44 28,+46˚2882,4,K0,-13,9;25,,4,4.7,4811.0M,
152,B. D. + 41  3799,20 29 0.00,+41 33 0.00,20 32 51.5,+41 53 54,+41˚3799,7,G5,21,8;21,,49,5.1,4893.0--,
153,B. D. + 57  2240,20 43 0.00,+57 13 0.00,20 45 21.1,+57 34 46,+57˚2240,4.6,G0,40,5;14,,43,7.3,4963.0--,
154,B. D. + 17  4519,21 7 0.00,+17 21 0.00,,,+17˚4519,7.3,F5,38,4;11,,,,0.00,
155,B. D. + 45  3561,21 26 0.00,+45 27 0.00,21 29 46.7,+45 53 39,+45˚3561,7.9,G0,20,11;29,,20,10.1,5186.0--,
156,Rho Cygni,21 30 0.00,+45 9 0.00,21 33 58.8,+45 35 30,+44˚3865,4.2,K0,-17,9;21,,-2,11.3,5200.0--,
157,B. D. + 53  2735,21 51 0.00,+53 28 0.00,21 54 59.8,+53 56 08,+53˚2735,6.9,F5,9,6;18,,15,8.0,5301.0--,
158,B. D. + 56  2727,22 8 0.00,+56 21 0.00,22 11 48.8,+56 50 21,+56˚2727,5.4,F8,22,7;19,,21,8.9,5376.0--,
159,Beta Pegasi,22 59 0.00,+27 32 0.00,23 03 46.4,+28 04 58,+27˚4480,2.6,Mb,18,10;26,,19,6.3,5583.0--,
160,Lambda Andromedae,23 33 0.00,+45 55 0.00,23 37 33.8,+46 27 29,+45˚4283,4,K0,44,5;12,,47,7.4,5716.0--,
161,Chi Pegasi,00 9 0.00,+19 39 0.00,00 14 36.1,+20 12 24,+19˚27,4.9,Ma,10,6;19,,14,9.8,38.0--,
