Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
178,45 Bootis,15 3 0.00,+25 16 0.00,15 07 18.0,+24 52 09,+25˚2873,5,A5,54,6;5,,54,5.2,3416.0--,
179,B. D. + 25  2874,15 3 0.00,+25 18 0.00,15 07 18.0,+24 52 09,+25˚2874,9.9,K5,61,10;19,,54,5.2,3416.0--,
180,Sigma Serpentis,16 17 0.00,+1 16 0.00,16 22 04.3,+01 01 44,+1˚3215,4.8,F0,26,10;28,,42,9.3,3716.0--,
181,B. D. + 8  3689,18 21 0.00,+8 44 0.00,,,+8˚3689,7.7,G5,26,9;21,,,,0.00,
182,B. D. + 52  2294,18 49 0.00,+52 51 0.00,18 51 35.1,+52 58 29,+52˚2294,5.6,G5,43,7;20,,40,4.8,4371.0--,
183,Sigma Cygni,21 13 0.00,+38 59 0.00,21 17 24.9,+39 23 40,+38˚4431,4.3,B8p,-7,9;24,,8,10.6,5126.0--,
184,72 Cygni,21 31 0.00,+38 5 0.00,21 34 46.5,+38 32 02,+37˚4359,5,K0,12,10;27,,10,9.2,5202.0--,
185,16 Cephei,21 58 0.00,+72 42 0.00,21 59 14.8,+73 10 48,+72˚1009,5.2,F0,33,9;24,,30,9.6,5321.0--,
186,Beta Cassiopeiae,00 4 0.00,+58 36 0.00,00 09 10.7,+59 08 59,+58˚3,2.4,F5,74,11;26,,69,6.6,16.0--,
187,Eta Cassiopeiae,00 43 0.00,+57 17 0.00,00 49 05.7,+57 48 58,+57˚150,3.6,F8,173,6;12,,171,1.8,155.0A,
188,Alpha Ceti,02 57 0.00,+3 42 0.00,03 02 16.7,+04 05 23,+3˚419,2.8,Ma,1,5;12,,5,6.5,629.0--,
189,Lambda Tauri,03 55 0.00,+12 12 0.00,04 00 40.7,+12 29 25,+12˚539,var.,B3,12,8;20,,-2,12.5,883.0A,
190,Zeta Aurigae,04 55 0.00,+40 56 0.00,05 02 28.6,+41 04 32,+40˚1142,3.9,K0,-3,5;16,,1,7.3,1127.0--,
191,16 Virginis,12 15 0.00,+3 52 0.00,12 20 20.9,+03 18 45,+4˚2604,5.1,K0,-11,8;21,,-2,7.7,2842.0--,
192,Piazzi 243,12 56 0.00,+18 55 0.00,13 00 38.6,+18 22 23,+19˚2622,6.1,G0,17,7;17,,20,11.1,2982.0--,
193,70 Virginis,13 24 0.00,+14 19 0.00,13 28 25.8,+13 46 43,+14˚2621,5.2,F0,32,8;23,,53,6.9,3076.0--,
194,Tau Bootis,13 43 0.00,+17 57 0.00,13 47 15.7,+17 27 24,+18˚2782,4.5,F5,43,7;16,,54,4.8,3144.0A,
195,Kappa Bootis (fainter),14 10 0.00,+52 15 0.00,14 13 28.9,+51 47 24,,6.6,,22,9;16,,14,8.2,3235.0A,
196,Kappa Bootis (brighter),14 10 0.00,+52 15 0.00,14 13 28.9,+51 47 24,+52˚1782,4.6,,18,11;27,,14,8.2,3235.0A,
,Mean,,,,,,,A5,20,7;--,,,,0.00,
197,Lambda Bootis,14 13 0.00,+46 33 0.00,14 16 22.9,+46 05 17,+46˚1949,4.3,A0,36,9;25,,41,8.0,3246.0--,
198,Theta Bootis,14 22 0.00,+52 19 0.00,14 25 11.8,+51 51 02,+52˚1804,4.1,F8,62,11;25,,69,11.2,3274.0A,
199,Beta Serpentis,15 42 0.00,+15 44 0.00,15 46 11.2,+15 25 18,+15˚2911,3.7,A2,31,8;18,,37,9.6,3569.0A,
200,Groombridge 2354,16 27 0.00,+48 11 0.00,16 30 14.9,+47 57 08,+48˚2400,6.5,K0,-4,8;21,,-1,12.5,3760.0--,
201,Eta Herculis,16 39 0.00,+39 7 0.00,16 42 53.7,+38 55 20,+39˚3029,3.6,K0,53,9;26,,34,6.7,3803.0--,
202,Lalande 31528,17 15 0.00,+9 34 0.00,17 20 11.6,+09 27 39,+9˚3366,8.2,G0,-22,7;18,,12,7.3,3938.0--,
203,Beta Draconis,17 28 0.00,+52 23 0.00,17 30 25.9,+52 18 05,+52˚2065,3,G0,14,8;24,,8,8.1,3982.0--,
204,Nu Draconis (prec.),17 30 0.00,+55 15 0.00,17 32 15.9,+55 10 22,+55˚1944,5,A5,5,13;36,,32,9.4,3999.0A,
205,Nu Draconis (fol.),17 30 0.00,+55 15 0.00,17 32 15.9,+55 10 22,+55˚1945,5,A5,22,10;28,,32,9.4,3999.0A,
,Mean,,,,,,,,16,8;--,,,,0.00,
206,Piazzi 368,18 2 0.00,+8 52 0.00,18 06 50.8,+08 52 33,+8˚3581,7.7,F5,4,9;21,,5,13.9,4145.0--,
207,Groombridge 2527,18 8 0.00,+54 15 0.00,18 10 31.6,+54 17 11,+54˚1950,5.9,G5,7,7;18,,21,8.9,4181.0--,
208,Delta Draconis,19 13 0.00,+67 29 0.00,19 12 33.3,+67 39 41,+67˚1129,3.2,K0,30,10;25,,28,8.9,4495.0--,
209,25 Aquilae,19 13 0.00,+11 25 0.00,19 17 49.0,+11 35 43,+11˚3790,5,A0,6,5;14,,10,8.4,4501.0--,
210,Groombridge 2809,19 14 0.00,+46 49 0.00,19 16 51.3,+46 59 56,+46˚2658,6,F0,13,11;29,,16,16.8,4511.0--,
211,16 Cygni (brighter),19 39 0.00,+50 18 0.00,19 41 48.9,+50 31 30,+50˚2847,6.3,,43,6;16,,46,1.2,4634.0A,
212,16 Cygni (fainter),19 39 0.00,+50 17 0.00,19 41 48.9,+50 31 30,+50˚2848,6.4,,21,12;31,,46,1.2,4634.0A,
,Mean,,,,,,,F0,38,5;--,,,,0.00,
213,Kappa Pegasi,21 40 0.00,+25 11 0.00,21 44 38.7,+25 38 42,+24˚4463,4.3,F5,+ .02r,7;20,,33,4.9,5250.0--,
214,4 Camelopardi,04 40 0.00,+56 35 0.00,04 48 00.2,+56 45 25,+56˚973,5.4,A2,8,7;22,,13,9.9,1057.0--,
215,Omicron Ursae majoris,08 22 0.00,+61 3 0.00,08 30 15.8,+60 43 05,+61˚1054,3.5,G0,-4,6;19,,6,8.2,2010.0--,
216,36 Ursae majoris,10 24 0.00,+56 30 0.00,10 30 25.3,+55 59 56,+56˚1459,4.8,F5,70,7;19,,74,5.6,2457.0--,
217,Groombridge 1658,10 27 0.00,+40 56 0.00,10 33 13.9,+40 25 31,+41˚2101,4.8,F,23,7;19,,28,11.1,2466.0--,
218,Gamma Comae Berenices,12 22 0.00,+28 49 0.00,12 26 56.2,+28 16 06,+29˚2288,4.6,K,-3,5;17,,1,8.4,2868.0--,
219,Delta Virginis,12 51 0.00,+3 56 0.00,12 55 36.2,+03 23 50,+4˚2669,3.7,Ma,13,7;17,,20,7.5,2968.0--,
220,Beta 612,13 35 0.00,+11 15 0.00,,,+11˚2589,5.5,A,-1,8;23,,,,0.00,
221,Piazzi 194,13 42 0.00,+6 51 0.00,13 46 57.1,+06 21 01,+7˚2690,6.3,F5,23,6;17,,28,4.6,3140.0A,
222,B. D. + 7  2692,13 43 0.00,+6 53 0.00,,,+7˚2692,10,,26,8;25,,,,0.00,
,Mean,,,,,,,,24,5;--,,,,0.00,
223,Rho Bootis,14 28 0.00,+30 49 0.00,14 31 49.7,+30 22 17,+31˚2628,3.8,K0,31,8;24,,24,9.6,3291.0--,
224,Epsilon Bootis (prec.),14 41 0.00,+27 30 0.00,,,+27˚2417,5.1,,14,11;28,,,,0.00,
225,Epsilon Bootis (fol.),14 41 0.00,+27 30 0.00,,,+27˚2417,2.7,K0,6,9;22,,,,0.00,
,Mean,,,,,,,,9,7;--,,,,0.00,
226,Beta Bootis,14 58 0.00,+40 47 0.00,15 01 56.7,+40 23 25,+40˚2840,3.6,G5,130,8;22,,29,10.9,3399.0--,
227,Delta Bootis,15 11 0.00,+33 41 0.00,15 15 30.1,+33 18 53,+33˚2561,3.5,K0,26,9;22,,27,8.4,3449.0A,
228,5 Serpentis,15 14 0.00,+2 9 0.00,15 19 18.7,+01 45 55,+2˚2944,5.2,G,30,8;24,,34,5.4,3457.0A,
229,Iota Draconis,15 23 0.00,+59 59 0.00,15 24 55.7,+58 57 57,+59˚1654,3.5,K0,20,10;25,,38,10.7,3490.0--,
230,Lambda Serpentis,15 42 0.00,+7 40 0.00,15 46 26.6,+07 21 10,+7˚3023,4.4,G,81,8;21,,84,4.0,3570.0--,
231,Delta Coronae Borealis,15 45 0.00,+26 22 0.00,15 49 35.6,+26 04 05,+26˚2737,4.7,G5,8,8;22,,12,12.5,3585.0--,
232,Kappa Coronae Borealis,15 47 0.00,+36 58 0.00,15 51 13.9,+35 39 26,+36˚2652,4.8,Mb,25,5;15,,34,7.3,3592.0--,
233,Groombridge 3100 (prec.),20 11 0.00,+52 49 0.00,20 13 40.8,+53 07 31,+52˚2657,7,F5,7,9;27,,12,11.9,4814.0A,
234,Groombridge 3100 (fol.),20 11 0.00,+52 49 0.00,20 13 40.8,+53 07 31,,9.1,,15,15;36,,12,11.9,4814.0A,
,Mean,,,,,,,,9,8;--,,,,0.00,
235,611 Cygni,21 3 0.00,+38 15 0.00,,,+38˚4343,5.6,,282,9;29,,,,0.00,
236,612 Cygni,21 3 0.00,+38 15 0.00,,,+38˚4344,6.3,K5,286,7;23,,,,0.00,
,Mean,,,,,,,,285,5;--,,,,0.00,
237,Delta Andromedae,00 34 0.00,+30 19 0.00,00 39 19.6,+30 51 39,+30˚91,3.5,K2,150,8;23,,29,1.8,108.0--,
238,Zeta Andromedae,01 42 0.00,+23 43 0.00,00 47 20.3,+24 16 01,+23˚106,4.3,K0,26,8;25,,35,9.6,151.0--,
239,Mu Andromedae,01 51 0.00,+37 57 0.00,,,+37˚175,3.9,A2,40,9;27,,,,0.00,
240,28 Cassiopeiae,01 51 0.00,+58 38 0.00,00 56 39.9,+59 10 51,+58˚138,4.8,K0,68,6;15,,35,6.7,186.0--,
241,Eta Andromedae,01 52 0.00,+22 53 0.00,00 57 12.4,+23 25 03,+22˚153,4.6,G5,6,5;15,,6,7.3,191.0--,
242,Chi Piscium,01 6 0.00,+20 30 0.00,01 11 27.2,+21 02 04,+20˚172,4.9,K0,8,5;15,,13,7.9,244.0--,
243,Zeta Piscium (prec.),02 9 0.00,+7 3 0.00,,,+6˚174,5.6,A5,21,12;29,,,,0.00,
244,Zeta Piscium (fol.),02 9 0.00,+7 3 0.00,,,+6˚175,6.5,F8,18,7;17,,,,0.00,
,Mean,,,,,,,,19,6;--,,,,0.00,
245,38 Cassiopeiae,02 24 0.00,+69 45 0.00,01 31 13.8,+70 15 53,+69˚102,6,F5,34,8;21,,37,12.5,303.0--,
246,Eta Piscium,02 26 0.00,+14 50 0.00,01 31 29.0,+15 20 44,+14˚231,3.7,G5,-15,3;16,,13,5.5,314.0--,
247,Chi Cassiopeiae,02 27 0.00,+58 43 0.00,01 33 55.8,+59 13 55,+58˚260,4.9,K0,15,5;15,,19,7.3,319.0--,
248,Upsilon Persei,02 32 0.00,+48 7 0.00,01 37 59.6,+48 37 41,+47˚467,3.8,K0,29,10;27,,20,1.6,335.0--,
249,Nu Piscium,02 36 0.00,+4 59 0.00,,,+4˚293,4.7,K0,50,7;18,,,,0.00,
250,65 Andromedae,02 19 0.00,+49 50 0.00,02 25 37.4,+50 16 42,+49˚656,4.9,K5,None,6;18,,8,8.7,490.0--,
251,Theta Persei,02 37 0.00,+48 48 0.00,02 44 12.0,+49 13 42,+48˚746,4.2,F8,74,6;20,,79,5.7,549.0A,
252,Zeta Arietis,03 9 0.00,+20 40 0.00,03 14 54.0,+21 02 40,+20˚527,5,A0,12,4;10,,17,7.2,672.0--,
253,Nu Persei,03 38 0.00,+24 16 0.00,,,+42˚815,3.9,F5,4,7;18,,,,0.00,
254,Nu Tauri,03 58 0.00,+5 43 0.00,04 03 09.3,+05 59 21,+5˚581,3.9,A0,9,9;27,,28,7.7,892.0--,
255,Beta 883,04 46 0.00,+10 54 0.00,04 51 12.5,+11 04 04,+10˚654,7,F5,36,5;16,,27,4.0,1084.0M,
256,Tau Aurigae,05 42 0.00,+39 9 0.00,05 49 10.4,+39 10 51,+39˚1418,4.6,K0,9,7;22,,3,8.9,1325.0--,
257,Lalande 11471,05 59 0.00,+35 24 0.00,,,+35˚1334,6.1,G0,43,9;29,,,,0.00,
258,Beta 895,06 13 0.00,+28 29 0.00,,,+28˚1078,7.2,A3,1,6;17,,,,0.00,
259,6 Lyncis,06 22 0.00,+58 14 0.00,06 30 47.1,+58 09 45,+58˚932,6,G5,14,8;23,,24,8.6,1499.0--,
260,Piazzi 305,06 57 0.00,+29 30 0.00,07 03 30.3,+29 20 13,+29˚1441,6,F8,53,9;24,,41,4.7,1647.0--,
261,Alpha Geminorum (prec.),07 28 0.00,+32 6 0.00,07 34 36.0,+31 53 19,,2.8,A0,54,7;25,,74,2.5,1785.0M,
262,Alpha Geminorum (fol.),07 28 0.00,+32 6 0.00,07 34 36.0,+31 53 19,,2,A0,85,7;24,,74,2.5,1785.0M,
,Mean,,,,,+32˚1581,,,70,5;--,,,,0.00,
263,Omicron  Geminorum,07 33 0.00,+34 49 0.00,07 39 09.8,+34 35 03,+34˚1649,4.9,F0,28,9;24,,19,8.7,1800.0--,
264,Lalande 15565,07 54 0.00,+29 31 0.00,08 00 32.2,+29 12 43,+29˚1664,6.9,G0,42,6;19,,54,3.9,1889.0--,
265,14 Cancri,08 4 0.00,+25 49 0.00,08 10 27.2,+25 30 26,+25˚1865,5.8,G5,31,10;25,,26,8.5,1936.0--,
266,18 Cancri,08 14 0.00,+27 33 0.00,08 20 03.8,+27 13 03,+27˚1589,5.2,F5,60,9;25,,64,9.9,1979.0--,
267,4 Ursae Majoris,08 31 0.00,+64 40 0.00,08 40 12.8,+64 19 40,+64˚698,4.8,K0,13,10;31,,13,9.4,2050.0--,
268,55 Cancri,08 47 0.00,+28 43 0.00,08 52 35.8,+28 19 51,+28˚1660,6.1,K0,69,6;15,,76,2.4,2117.0A,
269,Zeta Hydrae,08 50 0.00,+6 20 0.00,08 55 23.6,+05 56 43,+6˚2060,3.3,K0,24,8;22,,30,8.4,2134.0--,
270,11 Leonis Minoris,09 30 0.00,+36 16 0.00,09 35 39.4,+35 48 36,+36˚1979,5.5,K0,117,7;20,,90,2.5,2280.0A,
271,78 Ursae Majoris,12 56 0.00,+56 54 0.00,13 00 43.8,+56 21 58,+57˚1408,4.9,F0,26,11;28,,24,5.9,2986.0--,
272,59 Virginis,13 12 0.00,+9 57 0.00,13 16 46.5,+09 25 27,+10˚2531,5.2,F0,70,10;25,,63,7.5,3034.0--,
273,24 Bootis,14 25 0.00,+50 18 0.00,14 28 37.7,+49 50 41,+50˚2084,5.6,G5,18,11;27,,21,16.8,3284.0--,
274,Groombridge 2152,14 45 0.00,+38 13 0.00,14 49 06.7,+37 48 40,+38˚2593,6,F0,10,10;25,,22,7.9,3348.0--,
275,Alpha Serpentis,15 39 0.00,+6 44 0.00,15 44 16.0,+06 25 32,+6˚3088,2.8,K0,46,10;25,,45,2.0,3557.0--,
276,Epsilon Serpentis,15 46 0.00,+4 47 0.00,15 50 48.9,+04 28 40,+4˚3069,3.8,A0,30,7;19,,37,7.8,3587.0--,
277,39 Serpentis,15 49 0.00,+13 31 0.00,15 53 12.0,+13 11 47,+13˚3024,6.2,G0,21,9;22,,42,10.2,3595.0--,
278,Rho Coronae Borealis,15 57 0.00,+33 37 0.00,16 01 02.6,+33 18 12,+33˚2663,5.4,F0,45,8;20,,39,10.2,3626.0--,
279,Lalande 29437,16 4 0.00,+6 40 0.00,16 09 11.1,+06 22 43,+6˚3169,6,F5,12,8;22,,30,6.2,3659.0--,
280,Sigma 2107,16 48 0.00,+28 50 0.00,16 51 50.1,+28 39 58,+28˚2624,6.5,F5,28,10;28,,18,5.0,3836.0M,
281,Groombridge 2389,16 50 0.00,+43 0 0.00,16 53 32.3,+42 49 28,+43˚2659,6.7,G0,26,9;26,,33,7.2,3848.0--,
282,Lalande 31065,17 0 0.00,+0 51 0.00,17 05 16.8,+00 42 09,+0˚3629,5.9,F8,34,6;15,,39,6.1,3881.0--,
283,Alpha Herculis (prec.),17 10 0.00,+14 30 0.00,17 14 38.8,+14 23 25,,3.5,,-25,9;25,,-2,6.3,3912.0A,
284,Alpha Herculis (fol.),17 10 0.00,+14 30 0.00,17 14 38.8,+14 23 25,,5.4,,-9,10;27,,-2,6.3,3912.0A,
,Mean,,,,,+14˚3207,,Mb,-18,7;--,,,,0.00,
285,Beta 637,18 5 0.00,+2 6 0.00,,,+3˚3613,5.7,F0,76,8;20,,,,0.00,
286,Alpha Trianguli,01 47 0.00,+29 6 0.00,01 53 04.8,+29 34 44,+28˚312,3.6,F5,45,7;21,,53,10.1,390.0--,
287,Gamma Persei,02 58 0.00,+53 7 0.00,03 04 47.8,+53 30 23,+52˚654,3.1,*,10,6;20,,12,5.5,632.0A,
288,Lalande 6772,03 37 0.00,+42 18 0.00,03 43 44.9,+42 36 43,+42˚812,7.4,G0,26,8;23,,-1,25.7,768.0--,
289,104 Tauri,05 2 0.00,+18 31 0.00,05 07 26.9,+18 38 41,+18˚779,5,G0,55,8;26,,58,4.9,1152.0M,
290,18 Camelopardi,05 24 0.00,+57 9 0.00,05 32 33.7,+57 13 15,+57˚889,6.5,G0,9,6;19,,10,8.9,1245.0--,
291,Groombridge 990,05 30 0.00,+51 23 0.00,05 38 11.8,+51 26 44,+51˚1094,7.9,K0,35,6;16,,42,6.8,1274.0--,
292,Piazzi 146,05 33 0.00,+53 26 0.00,05 41 20.3,+53 28 52,+53˚934,6.4,K0,83,6;20,,83,4.0,1289.0A,
293,Lalande 10797,05 39 0.00,+37 15 0.00,05 46 01.9,+37 17 04,+37˚1312,7.3,K0,86,6;20,,56,4.0,1314.0--,
294,Delta Aurigae,05 51 0.00,+54 17 0.00,05 59 31.6,+54 17 05,+54˚970,3.9,K,23,9;28,,23,6.7,1367.0--,
295,Lalande 16933,08 32 0.00,+26 24 0.00,08 38 08.5,+26 02 55,+26˚1816,7.6,G5,22,10;29,,25,15.4,2052.0--,
296,81 Cancri,09 7 0.00,+15 24 0.00,09 12 17.5,+14 59 45,+15˚2003,6.4,G0,65,8;24,,47,5.1,2193.0A,
297,Theta Ursae Majoris,09 26 0.00,+52 8 0.00,09 32 51.4,+51 40 37,+52˚1401,3.3,F8,57,9;22,,68,5.7,2266.0--,
298,Lalande 18721,09 27 0.00,+27 26 0.00,09 32 43.8,+26 59 17,+27˚1775,7.1,K0,50,9;28,,53,13.9,2269.0--,
299,20 Leonis Minoris,09 55 0.00,+32 25 0.00,10 01 00.7,+31 55 25,+32˚1964,5.6,F2,69,9;25,,65,1.9,2366.0--,
300,Groombridge 1603,09 58 0.00,+38 30 0.00,10 03 53.5,+38 01 13,+38˚2096,6.8,F5,27,10;28,,30,15.4,2374.0A,
301,37 Ursae Majoris,10 29 0.00,+57 36 0.00,10 35 09.6,+57 04 57,+57˚1277,5.2,F0,29,11;26,,33,9.5,2472.0--,
302,47 Ursae Majoris,11 54 0.00,+40 58 0.00,10 59 27.9,+40 25 48,+41˚2147,5.1,F0,75,10;26,,76,7.8,2556.0--,
303,Lalande 22908,12 8 0.00,+11 24 0.00,12 13 13.1,+10 49 18,+11˚2439,7.9,G5,23,10;26,,16,10.7,2814.0--,
304,10 Canum Venaticorum,12 40 0.00,+39 49 0.00,12 44 59.4,+39 16 44,+40˚2570,6,F0,58,5;11,,62,6.1,2935.0--,
305,Lalande 23900,12 44 0.00,+25 23 0.00,12 48 47.0,+24 50 25,+25˚2568,6.4,F2,21,12;31,,40,12.7,2945.0--,
306,Piazzi 200,13 42 0.00,+56 23 0.00,13 45 13.2,+55 52 45,+56˚1683,6.4,F0,22,8;21,,25,12.5,3138.0--,
307,B. D. +19  2881,14 49 0.00,+19 33 0.00,14 53 23.7,+19 09 10,+19˚2881,6,K0,81,8;16,,86,5.2,3367.0--,
308,Lalande 27922,15 15 0.00,-8 18 0.00,,,-8˚3949,7.9,F8,-10,9;22,,,,0.00,
309,Groombridge 2273. . . .,15 42 0.00,+53 18 0.00,15 44 21.6,+52 59 01,+53˚1806,7.3,G5,10,10;26,,13,15.4,3571.0--,
310,12 Ophiuchi,16 31 0.00,-2 7 0.00,16 36 21.4,-02 19 28,-2˚3220,5.9,F0,83,9;26,,94,4.6,3773.0--,
311,35 Draconis,17 54 0.00,+76 59 0.00,17 49 27.0,+76 57 46,+76˚667,5,F5,33,11;27,,30,8.0,4105.0--,
312,B. D. +8  3692,18 22 0.00,+8 34 0.00,,,+8˚3692,8.5,G5,37,12;24,,,,0.00,
313,Weisse 1064,18 37 0.00,+31 28 0.00,18 40 54.9,+31 31 59,+31˚3330,8.7,K2,28,8;19,,31,9.9,4314.0A,
314,Lalande 39866,20 35 0.00,+4 37 0.00,20 39 37.7,+04 58 19,+4˚4510,8.4,K5,45,11;28,,63,4.0,4920.0M,
315,56 Cygni,20 47 0.00,+43 41 0.00,20 50 04.9,+44 03 33,+43˚3739,5.1,A8,29,6;15,,23,6.9,4984.0--,
316,Fedorenko 3638,20 52 0.00,+74 23 0.00,20 51 45.0,+74 46 49,+74˚889,7.8,G5,37,9;23,,44,8.6,5020.0--,
317,Nu Pegasi,22 1 0.00,+4 34 0.00,,,+4˚4800,4.9,K0,10,9;19,,,,0.00,
318,Delta Cephei,22 25 0.00,+57 54 0.00,22 29 10.2,+58 24 54,+57˚2548,Var.,G0,6,6;15,,8,4.8,5443.0A,
319,Iota Cephei,22 46 0.00,+65 40 0.00,22 49 40.8,+66 12 01,+65˚1814,3.7,K0,27,7;21,,26,1.5,5532.0--,
320,Piazzi 267,00 0 0.00,+34 6 0.00,00 04 53.7,+34 39 34,+33˚4828,6.2,F0,40,9;24,,33,9.4,5819.0--,
321,Sigma 42 (brighter),00 31 0.00,+29 27 0.00,00 36 02.3,+29 59 35,,9,,32,6;17,,26,7.4,98.0M,
322,Sigma 42 (fainter),00 31 0.00,+29 27 0.00,00 36 02.3,+29 59 35,,9.8,,13,10;28,,26,7.4,98.0M,
,Mean,,,,,+29˚105,8.6,F8,27,5;--,,,,0.00,
323,54 Piscium,00 34 0.00,+20 43 0.00,00 39 21.7,+21 15 01,+20˚85,6.1,K0,96,7;24,,96,6.3,110.0--,
324,55 Piscium,00 35 0.00,+20 53 0.00,00 39 55.5,+21 26 18,+20˚87,5.6,K0,3,6;17,,7,9.8,113.0A,
325,Lalande 1045,00 35 0.00,+39 39 0.00,00 40 49.2,+40 11 14,+39˚154,7.5,K0,86,6;15,,59,6.5,116.0--,
326,Beta Andromedae,01 4 0.00,+35 5 0.00,01 09 43.9,+35 37 13,+34˚198,2.4,Ma,33,7;19,,47,7.9,238.0--,
327,Piazzi 142,01 36 0.00,+42 7 0.00,01 41 47.1,+42 36 48,+41˚328,5.1,F8,81,7;22,,74,4.4,350.0--,
328,9 Lambda Arietis,01 52 0.00,+23 7 0.00,01 57 55.7,+23 35 45,+22˚288,4.8,A5,23,8;21,,26,10.2,407.0--,
329,8 Delta Trianguli,02 11 0.00,+33 46 0.00,02 17 03.2,+34 13 27,+33˚395,5.1,G0,62,8;22,,96,3.7,464.0--,
330,Piazzi 123,02 31 0.00,+6 25 0.00,,,+6˚398,5.9,K0,145,8;23,,,,0.00,
331,10 Tauri,03 32 0.00,+0 5 0.00,03 36 52.3,+00 24 06,+0˚572,4.4,G5,55,10;29,,64,6.1,753.0--,
332,38 Omicron Persei,03 38 0.00,+31 58 0.00,03 44 19.0,+32 17 16,+31˚642,3.9,B1,None,7;19,,21,7.7,776.0--,
333,Groombridge 864,04 35 0.00,+41 56 0.00,04 41 36.2,+42 07 06,+41˚931,7.3,G0,21,7;23,,24,8.5,1032.0--,
334,Companion to Capella,05 10 0.00,+45 44 0.00,05 17 22.7,+45 50 00,,10.5,,710,8;21,,76,3.6,1193.0A,
335,Eta Geminorum,06 9 0.00,+22 32 0.00,06 14 52.7,+22 30 24,+22˚1241,Var.,Ma,16,8;28,,15,8.0,1444.0--,
336,Lalande 12293,06 22 0.00,+36 33 0.00,06 28 46.0,+36 28 48,+36˚1442,7.1,G0,32,7;21,,34,11.1,1498.0--,
337,19 Lyncis (fainter),07 15 0.00,+55 28 0.00,07 22 52.0,+55 16 52,,6.5,A,-4,7;22,,10,7.8,1724.0A,
338,19 Lyncis (brighter),07 15 0.00,+55 28 0.00,07 22 52.0,+55 16 52,,5.6,B8,7,8;23,,10,7.8,1724.0A,
,Mean,,,,,+55˚1192,,,1,5;--,,,,0.00,
339,Omicron Leonis,09 36 0.00,+10 21 0.00,09 41 09.0,+09 53 32,+36˚2044,3.8,F5,24,8;24,,31,10.2,2299.0M,
340,60 Leonia,10 57 0.00,+20 43 0.00,11 02 19.7,+20 10 47,+20˚2547,4.4,A,7,8;20,,14,12.5,2572.0--,
341,Piazzi 40,12 14 0.00,+17 6 0.00,12 19 06.4,+16 32 54,+17˚2462,7,G5,19,8;21,,22,12.5,2836.0--,
342,Lalande 24414,13 4 0.00,+5 46 0.00,13 08 51.0,+05 12 25,+6˚2697,6.7,G0,35,9;24,,44,10.5,3002.0--,
343,Sigma 2106,16 46 0.00,+9 35 0.00,,,+9˚3287,6.8,F8,-4,9;26,,,,0.00,
344,Sigma 2128,17 2 0.00,+59 43 0.00,17 03 18.4,+59 35 07,+59˚1783,9.1,K0,39,8;20,,45,7.9,3886.0A,
345,Weisse 1805,17 58 0.00,+26 20 0.00,,,+26˚3151,7.1,K0,35,11;27,,,,0.00,
346,Lalande 33439,18 6 0.00,+38 27 0.00,18 09 37.3,+38 27 28,+38˚3095,6.4,G,95,6;16,,90,3.7,4171.0--,
347,111 Herculis,18 43 0.00,+18 4 0.00,18 47 01.2,+18 10 53,+18˚3823,4.4,A3,51,9;26,,31,6.6,4336.0--,
348,31 b Aquilae,19 20 0.00,+11 44 0.00,19 24 58.2,+11 56 39,+11˚3833,5.2,G5,55,11;28,,63,4.0,4541.0--,
349,38 Mu Aquilae,19 29 0.00,+7 10 0.00,19 34 05.4,+07 22 44,+7˚4132,4.6,K,16,8;18,,30,1.8,4579.0--,
350,Groombridge 2875,19 29 0.00,+58 23 0.00,19 31 08.0,+58 35 09,+58˚1929,6.7,K0,25,6;16,,49,5.0,4581.0--,
351,Lalande 37120,19 30 0.00,+32 59 0.00,19 33 27.0,+33 12 07,+32˚3474,6.6,G0,27,10;24,,31,3.6,4585.0--,
352,17 Cygni,19 43 0.00,+33 30 0.00,19 46 25.5,+33 43 39,+33˚3587,5,F5,30,7;18,,45,2.8,4654.0A,
353,Lalande 38383,20 0 0.00,+23 5 0.00,20 03 52.1,+23 20 27,+22˚3908,7.2,K2,38,7;20,,62,1.2,4762.0--,
354,Lalande 38380,20 0 0.00,+29 38 0.00,20 03 37.4,+29 53 48,+29˚3872,5.7,K,44,7;18,,57,2.9,4759.0--,
355,Groombridge 3243,20 34 0.00,+42 29 0.00,20 37 58.9,+42 50 44,+42˚3807,7.1,F8,-5,9;26,,-2,13.9,4914.0--,
356,Oeltzen 21338,20 51 0.00,+61 48 0.00,20 53 08.1,+62 10 14,+61˚2068,8.6,K0,134,7;18,,-1,4.4,5010.0--,
357,Lalande 40848,20 59 0.00,+45 29 0.00,21 02 40.7,+45 53 05,+45˚3371,8.1,K2,44,9;20,,46,5.8,5061.0A,
358,Beta 1138,20 59 0.00,+45 27 0.00,21 02 40.7,+45 53 05,+45˚3374,6.2,B8,-4,11;28,,46,5.8,5061.0A,
359,Lalande 41685,21 21 0.00,+0 41 0.00,,,+0˚4726,6.4,F2,47,10;24,,,,0.00,
360,Lalande 41818,21 25 0.00,+11 50 0.00,21 30 08.4,+12 16 14,+11˚4578,7.7,G0,1,8;23,,4,12.5,5179.0--,
