No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1964,Epsilon Dra,19,48.5,70,1,69,1070,4,K0,0.086,0.078,0.074,0.023,7;27,12.4,39C
1965,Gamma Sge,19,54.3,19,13,19,4229,3.7,K5,0.066,0.061,0.066,0.007,6;22,12.1,36C
1966,GC 27912,20,3.6,52,52,52,2623,5.7,F5,0.335,0.215,0.209,0.031,6;21,12.4,38C
1967,Kappa Cep*,20,12.3,77,25,77,764,4.4,B9,0.028,0.009,0.004,-0.004,6;23,12.4S,44C
1968,Gamma Cyg,20,18.6,39,56,39,4159,2.3,F8p,0.001,0.001,-0.007,-0.001,7;22,12.4S,34W
1969,Alpha Cyg,20,38,44,55,44,3541,1.3,A1p,0.003,-0.002,0.007,-0.017,5;19,12.4S,34W
1970,Epsilon Cyg,20,42.2,33,36,33,4018,2.6,G8,0.481,0.355,0.362,0.049,5;21,12.8S,33W
1971,Alpha Cep,21,16.2,62,10,61,2111,2.6,A5,0.155,0.147,0.148,0.04,6;22,12.5S,36W
1972,GC 31046,22,7.3,50,20,50,3602,5.4,A2,0.142,0.136,0.143,0.002,6;23,12.1,38C
1973,33 Peg,22,18.8,20,21,20,5139,6.1,F5,0.333,0.333,0.342,0.033,5;20,12.2,31D
1974,Zeta Peg*,22,36.5,10,19,10,4797,3.6,B8,0.077,0.077,0.084,0.02,6;24,12.4S,44C
1975,Eta Peg,22,38.3,29,42,29,4741,3.1,G0,0.027,0.01,0.011,0.014,5;25,12.3S,60C
1976,Beta Peg,22,58.9,27,32,27,4480,2.6,Ma,0.234,0.188,0.189,0.012,6;22,13.0S,31W
1977,7 And,23,8,48,52,48,3964,4.6,F0,0.132,0.089,0.087,0.046,4;17,12.5,31D
1978,Nu Peg,23,20.4,22,51,22,4833,4.6,G0,0.192,0.188,0.193,0.036,7;27,12.7,38C
1979,GC 153,0,4.1,24,44,24,4,8.2,G0,0.236,0.189,0.157,0.029,5;19,12.8,31L
1980,GC 707,0,30.7,12,40,12,59,6.4,F5,0.236,-0.146,-0.136,0.019,7;21,12.4,28S
1981,32 And,0,35.7,38,55,38,90,5.4,G5,0.015,-0.014,-0.018,0.008,8;30,12.4,32G
1982,GC 1186,0,54.1,31,57,31,153,7,F5,0.353,0.349,0.322,0.012,5;21,12.6,37H
1983,Polaris,1,22.6,88,46,88,8,2.6,F8,0.046,0.046,0.053,-0.016,5;28,8.6,71C
1984,LFT 144-5,1,34,-18,28,,,12,M6,3.36,3.31,3.271,0.323,22;51,13.4,48W
1985,Tau Cet,1,39,-16,28,-16,295,3.6,K0,1.921,-1.718,-1.735,0.268,6;25,12,51L
1986,Xi Psc,1,48,2,42,2,290,4.8,K0,0.034,0.021,-0.001,0.008,6;25,11.8,34G
1987,"Ci20, 148",2,3.1,24,46,,,,DA,0.43,0.42,0.412,0.018,7;22,12.8,35S
1988,Epsilon Cet,2,34.7,-12,18,-12,501,5,F5,0.275,0.147,0.136,0.069,6;20,12.4,32H
1989,GC 4849,3,56.5,35,2,34,796,8.6,K0,2.205,1.745,1.74,0.043,5;19,12.4,52L
1990,9 Aur,4,58.8,51,28,51,1024,5,F0,0.177,-0.024,-0.026,0.057,5;22,12.3,34G
1991,LTT 11818,6,9.6,17,45,,,,DA,0.36,-0.056,-0.057,0.023,5;17,12.6,35L
1992,49 Aur,6,28.9,28,6,28,1168,5,A0,0.02,0.007,0.001,-0.005,6;25,12.2,33G
1993,45 Gem,7,2.6,16,5,16,1397,5.6,K0,0.104,-0.004,-0.003,0.001,4;17,12.2,32G
1994,"Ci20, 451",7,54.3,29,18,,,,G2,0.53,0,-0.026,0.007,8;27,12.4,21K
1995,Rho UMa,8,53.5,68,1,68,551,5,Ma,0.24,-0.02,-0.019,0.015,5;24,12.3,35G
1996,18 UMa,9,9,54,26,54,1285,4.9,A5,0.078,0.056,0.076,0.036,7;29,12.2,33G
1997,32 Hyd,9,26.9,0,45,0,2211,4.5,A3,0.19,-0.013,-0.023,0.02,7;29,12,32G
1998,21 LMi,10,1.5,35,44,35,2110,4.5,A5,0.052,0.052,0.051,0.042,7;27,12,35G
1999,GC 14225,10,16.2,41,44,41,2076,5.9,F5,0.189,-0.122,-0.132,0.018,6;26,12.3,39H
2000,GC 15485,11,10.3,53,19,53,1480,6.3,F2,0.169,0.161,0.165,0.051,6;24,12.1,30G
2001,14 CVn,13,1.1,36,20,36,2337,5.1,B9,0.31,-0.029,-0.012,0.004,7;26,12.5,37G
2002,HZ 43,13,11.6,29,38,,,,DA,0.17,-0.15,-0.146,0.021,11;28,11.8,20K
2003,GC 19428,14,19.2,6,16,6,2875,5.1,A3,0.082,-0.082,-0.046,0.014,7;24,12.4,33G
2004,LFT 1146,14,45.9,7,58,,,,DA,0.94,-0.84,-0.813,0.028,11;27,15,21V
2005,"Ci20, 933",15,23.7,17,4,,,,K5,0.97,-0.96,-0.887,0.024,9;21,14.7,31K
2006,GC 21044,15,35.1,47,8,47,2253,5.8,F0,0.15,0.085,0.116,0.005,8;28,12.7,34G
2007,GC 21124,15,37.7,-10,36,-10,4149,7.3,F2,1.189,-1.145,-1.12,0.014,9;23,12.7,38S
2008,LTT 14769,15,57.8,37,6,,,14.1,DA,0.57,0.13,0.122,0.019,6;21,14,38V
2009,LTT 6497,16,12.2,-15,22,,,,DA,0.25,-0.17,-0.176,0.006,9;30,12.5,38S
2010,GC 21907,16,15.5,71,11,71,775,7.8,G5,0.299,-0.021,0.004,0.04,6;24,12.4,35G
2011,"Ci20, 992",16,24.9,36,58,,,,DF,0.89,-0.5,-0.48,0.054,6;23,12.8,49V
2012,LTT 6847,17,5.7,-14,41,,,,DC,0.36,0.27,0.284,0.002,12;42,14.3,37S
2013,GC 23181,17,6.5,24,39,24,3137,8.3,K1,0.313,-0.224,-0.203,0.028,6;22,12.3,59L
2014,GC 23592,17,20.8,2,14,2,3312,7.9,K6,1.332,-0.587,-0.591,0.13,4;21,12,66L
2015,L846-54,17,29.2,-13,54,,,,a,0.165,-0.067,-0.053,-0.028,8;30,13.3,37S
2016,GC 24145,17,42.6,25,48,25,3344,7,A2,0.65,-0.063,-0.043,0.005,5;20,12.3,36S
2017,LTT 15456,18,22.3,4,1,,,,DA,0.37,-0.23,-0.253,0.015,7;29,13.3,48V
2018,GC 25394,18,31.6,51,39,51,2402,8.3,M1,0.37,0.191,0.184,0.062,9;19,12.2,20M
2019,AC70 8247,19,1.1,70,30,,,,DA,0.52,0.11,0.095,0.096,7;27,12.7,39L
2020,LFT 1463,19,10.3,19,8,,,,k,0.74,-0.58,-0.614,0.04,5;22,12.2,58S
2021,LTT 7658,19,15.2,-7,51,,,,DC,0.2,-0.06,-0.07,0.092,7;34,12,44S
2022,9 Vul,19,30.2,19,33,19,4063,4.9,B8,0.003,0.003,0.004,0.012,7;24,12.2,33G
2023,LTT 15760,19,39.6,8,39,,,,a,0.22,-0.11,-0.092,0.012,9;28,14.2,29K
2024,"Ci20, 1165",19,42.5,31,47,31,3767,10,M1,0.63,0.48,0.454,0.069,5;23,11.4,52S
2025,"Ci20, 1165",19,42.5,31,47,31,3767,11,M2,0.63,0.48,0.486,0.084,7;26,11.4,36S
,Mean,,,,,31,3767,,,,,,0.074,4,,
2026,LTT 7879,19,51.4,-1,17,,,13.9,DA,0.84,-0.46,-0.44,0.094,7;25,13.8,45S
2027,GC 28350,20,17.7,-21,40,-21,5703,8.2,F8,1.206,0.55,0.536,0.024,6;20,11,37S
2028,69 Aql,20,24.4,-3,13,-3,4918,5.1,K0,0.068,0.066,0.073,0.021,6;24,12.2,38G
2029,"Ci20, 1215",20,30.1,24,44,,,,DA,0.68,-0.4,-0.402,0.069,4;24,10.8,58L
2030,"Ci20, 1228",20,41.5,44,8,,,9.5,M3,0.5,0.42,0.434,0.076,4;22,11.7,69S
2031,"Ci20, 1248",20,52.8,21,59,,,,M3,0.87,0.86,0.769,0.072,8;32,13.5,64S
2032,GC 29631,21,7.4,17,21,17,4519,7.3,F9,0.903,-0.116,-0.144,0.026,6;24,11,45S
2033,GC 29980,21,20.1,25,45,25,4531,5.7,F0,0.043,0.043,0.053,0.01,6;22,12.4,33G
2034,GC 30022,21,21.4,0,41,0,4726,6.4,F5,0.183,0.099,0.107,0.024,4;15,12.4,35L
2035,LTT 16270,21,23.1,54,46,,,,DA,0.3,0.2,0.275,0.056,10;38,14.4,39S
2036,AC7 8031,21,26.8,73,13,,,,DA,0.32,0.04,0.054,0.043,7;18,12.5,37S
2037,LTT 16295,21,27,0,13,0,4234,9.7,K2,0.41,0.41,0.376,0.024,9;21,11,22L
2038,LTT 16324,21,38.7,82,36,,,13.1,DA,0.64,0.31,0.278,0.042,10;23,12.7,24S
2039,"Ci20, 1320",21,49.8,41,19,,,10.3,K8,0.53,0.37,0.379,0.029,4;16,11.2,59L
2040,LTT 16560,22,20,22,4,21,4747,8.6,M0,0.21,-0.2,-0.2,0.052,6;35,10.9,62K
2041,"Ci20, 1407",23,8.9,38,53,38,4955,11,F8,0.57,0.44,0.179,-0.001,6;23,12.3,38L
2042,7 Psc,23,15.2,4,50,4,4997,5.2,K0,0.96,0.076,0.067,-0.007,7;26,12,34G
2043,77 Peg,23,38.3,9,47,9,5268,5.4,Ma,0.015,0.001,-0.023,0.004,7;25,12.3,31G
2044,LTT 16991,23,38.9,31,58,,,,a,0.24,-0.23,-0.22,0.06,7;28,12.8,38S
2045,LTT 16990,23,38.9,23,0,,,,m,0.24,-0.23,-0.217,0.054,8;33,13,38S
,Mean,,,,,,,,,,,,0.057,5,,
2046,HD 5223 Lal 2975 7 Tau K Tau Lal 18397 0 LMi,0,48.9,23,32,23,123,8.33,R2,,,0.1344,0.009,7;20,12,
2047,Lal 2975,1,32.7,28,4,28,271,8.66,K0 IV-V,,,0.3644,0.025,7;25,12.3,
2048,Gamma Tau,4,14.1,15,23,15,612,3.61,K0 III,,,0.1089,0.021,10;39,12.4,
2049,Kappa Tau,4,19.4,21,4,21,642,4.23,A7 V,,,0.0755,0.017,12;42,12.2,
2050,Lal 18397,9,16.2,40,40,40,2197,7.64,dK3,,,-0.3448,0.054,8;26,12.6,
2051,Beta Lmi,10,22.1,37,13,37,2080,4.2,G8 III-IV,,,-0.1071,0.018,9;39,11.7,
2052,37 UMa,10,28.7,57,36,57,1277,5.15,F1 V,,,0.0743,0.043,11;36,12.7,
2053,L825-14,10,28.9,-11,14,,,12.97,DAn,,,-0.3542,0.03,12;35,12.8,
2054,Lal 21185,10,57.9,36,38,36,2147,7.5,M2 V,,,0.5403,0.406,9;31,12.4,
2055,61 UMa,11,35.7,34,46,35,2270,5.33,G8 V,,,-0.0169,0.117,9;30,12.4,
2056,Grb 1830,11,47.2,38,26,38,2285,6.49,G8 Vp,,,3.9946,0.121,17;62,12.6,
2057,Grb 2131,14,31.2,57,30,57,1519,6.28R,F5,,,0.2279,0.024,11;37,12.3,
2058,Beta CrB,15,23.7,29,27,29,2670,3.66,F0p,,,-0.175,0.052,24;42,11.2,
2059,Eta Her,16,39.5,39,7,39,3029,3.5,G7 III-IV,,,0.0427,0.012,8;33,12.2,
2060,WB 1259,16,41.5,33,40,33,2777,8.11,K7 V,,,-0.0348,0.098,7;31,12.3,
2061,Ross 868,17,16,26,45,,,13.6,M5e,,,-0.2142,0.099,11;40,13.6,
2062,CC1069,17,53.2,4,16,4,3561,9.53,M5 V,,,-0.7118,0.553,6;38,11.3,
2063,99 Her,18,3.2,30,33,30,3128,5.04,F7 V,,,-0.0798,0.048,16;108,11.1,
2064,Chi Dra,18,22.9,72,41,72,839,3.58,F7 V,,,0.5242,0.122,87;46,11.9,
2065,+76∞785,20,13.9,76,55,76,785,8.89,dK7,,,0.0666,0.055,6;22,11.8,
2066,Beta Del,20,32.9,14,15,14,4369,3.63,F5 IV,,,0.1043,0.017,7;49,11.8,
2067,VW Cep,20,38.6,75,14,75,752,7.1,K0 V,,,0.34,0.053,10;30,12.1,
2068,Lal 40844,21,0.4,6,41,6,4741,8.34,K7 V,,,0.0688,0.071,9;40,11.8,
2069,G93-48,21,47.4,1,55,,,12.77,DA,,,0.0165,0.015,24;52,12.8,
2070,D'AG 6348,23,31,17,53,17,4946,7.63,G5 V,,,0.6907,-0.008,11;32,12.1,
