No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1613,34 Lyn,8,34.1,46,11,08h40m54.4047s,+45d49m48.5909s,46,1422.0,5.5,K0,0.089,0.029,0.026,0.012,5;23,12.5,30
1614,19 LMi,9,51.6,41,32,09h57m08.6896s,+41d03m30.4647s,41,2033.0,5.2,F5,0.121,-0.117,-0.095,0.035,6;24,12.2,31
1615,2 Dra,11,30.2,69,53,11h35m49.7681s,+69d19m49.3979s,70,670.0,5.4,K0,0.17,0.109,0.112,0.018,5;21,12.4,32
1616,Pi. 255,12,57.9,64,9,13h00m58.0086s,+63d36m41.4409s,64,927.0,6,F5,0.18,-0.178,-0.158,0.029,5;20,12.4,31
1617,Theta Vir,13,4.8,-5,0,13h09m10.9164s,-05d32m00.551s,-4,3430.0,4.4,A0,0.053,-0.036,-0.053,0.026,7;25,11.8,37
1618,Lal. 25653,13,51.8,32,31,13h55m27.3685s,+32d01m35.1349s,32,2411.0,6.3,F2,0.139,-0.132,-0.105,0.012,8;28,12.6,30
1619,Lal. 25818,13,58.6,11,16,14h02m54.3225s,+10d47m05.9736s,11,2625.0,6.4,G5,0.324,0.08,0.09,0.059,6;22,12.2,30
1620,Grb. 2196,14,57.0,82,55,14h50m09.1699s,+82d30m42.8943s,83,431.0,5.7,G0,0.283,0.164,0.161,0.024,5;17,12.5,31
1621,Lal. 27957,15,15.6,-2,3,15h20m11.3403s,-02d24m44.5545s,-1,3047.0,6.5,K2,0.314,-0.256,-0.257,0.027,6;23,12.8,31
1622,Lal. 28358,15,26.6,57,47,15h28m21.836s,+57d26m20.2159s,57,1590.0,6.9,F8,0.306,-0.266,-0.252,0.021,6;23,12.4,33
1623,16 Her,16,11.0,19,4,16h15m26.4118s,+18d48m59.4742s,19,3075.0,5.9,K0,0.108,-0.067,-0.064,0.01,8;28,12.7,30
1624,Lal. 29752,16,13.9,32,2,16h16m52.7619s,+31d47m12.9347s,32,2702.0,6.9,G0,0.327,0.153,0.187,0.022,6;21,12.3,32
1625,17 G Oph,16,22.3,-7,22,16h27m23.4364s,-07d35m29.7619s,-7,4292.0,5.4,Ma,0.161,0.009,0.004,0.011,6;24,12.4,33
1626,Pi. 195,16,34.9,77,39,16h29m46.4314s,+77d26m28.0132s,77,627.0,6.4,G5,0.289,-0.1,-0.09,0.016,5;20,12.4,30
1627,30 Oph,16,55.8,-4,4,17h00m16.7077s,-04d12m58.7236s,-4,4215.0,5,K0,0.096,-0.049,-0.042,0.004,6;22,12.2,32
1628,Lal. 31693,17,17.9,48,17,17h19m40.2108s,+48d10m57.5902s,48,2506.0,6.3,F2,0.19,0.188,0.207,0.007,7;24,12.5,31
1629,Lal. 32019,17,28.4,34,21,17h31m36.9683s,+34d16m36.7038s,34,2989.0,6.5,G5,0.242,-0.238,-0.246,0.049,5;19,12.3,34
1630,Lal. 33085,17,56.8,29,34,17h59m51.5826s,+29d33m41.9151s,29,3165.0,7.2,G5,0.213,-0.128,-0.14,0.037,4;17,12.9,31
1631,Phi Dra,18,22.2,71,17,18h20m34.0469s,+71d20m05.9356s,71,889.0,4.2,A0p,0.038,-0.008,0.005,0.006,6;24,12,39
1632,Lal. 34528,18,31.4,34,22,18h34m36.7962s,+34d26m45.9939s,34,3245.0,5.9,B5,0.001,0.001,0.001,-0.023,6;23,12.4,31
1633,Lal. 34852,18,41.5,23,29,18h45m10.2063s,+23d35m14.6583s,23,3439.0,6.2,F2,0.09,0.004,0.019,0.019,4;16,12.3,31
1634,48 Dra,18,55.1,57,41,18h56m41.8332s,+57d49m03.7051s,57,1922.0,5.7,K0,0.078,-0.037,-0.03,0.018,5;20,12.5,31
1635,Lal. 37161,19,29.4,49,57,19h31m40.0366s,+50d09m49.8511s,49,3038.0,8.1,F8,0.308,-0.092,-0.084,0.023,4;17,12.4,35
1636,U Vul,19,32.3,20,7,19h36m22.2437s,+20d20m20.8372s,20,4200.0,Var,G5,0.016,-0.008,-0.002,-0.018,6;24,12.4,39
1637,Lal. 37832,19,48.1,-3,22,19h53m14.0827s,-03d06m29.5767s,-3,4742.0,5.6,F0p,0.018,0.009,0.019,0.0,5;20,12.1,32
1638,P Cyg,20,14.1,37,43,20h17m41.1846s,+38d01m39.8392s,37,3871.0,4.9,B1p,0.01,-0.009,-0.003,0.0,5;19,11.9,37
1639,15 Del,20,44.9,12,10,20h48m45.5019s,+12d32m10.7794s,12,4472.0,6,F5,0.111,0.053,0.037,0.029,4;16,12.4,36
1640,Pi. 391,20,50.4,54,8,20h52m50.939s,+54d30m43.4728s,53,2511.0,7.2,K0,0.179,0.02,0.019,0.004,4;16,12.8,34
1641,Epsilon Equ AB,20,54.1,3,55,20h59m00.4932s,+04d18m15.6878s,,,5.3,F5,0.186,-0.115,-0.1,0.023,5;19,10.3,36
1642,Epsilon Equ C,20,54.1,3,55,20h59m00.4932s,+04d18m15.6878s,,,7.4,F5,0.177,-0.118,-0.107,0.014,5;20,12.2,36
,Mean,,,,,0,0,3,4473.0,,,,,,0.019,4,,
1643,Pi. 114,21,19.5,23,51,21h23m29.2747s,+24d16m42.5886s,23,4300.0,5.7,F0,0.133,0.131,0.13,0.025,5;21,12.3,34
1644,Lal. 42199,21,34.4,19,49,21h38m38.7873s,+20d16m03.4172s,19,4754.0,5.8,F0,0.109,0.109,0.132,0.019,6;24,12.4,34
1645,Pi. 406,22,2.7,18,59,22h06m44.8575s,+19d28m14.842s,18,4930.0,5.8,F0,0.126,0.12,0.143,0.013,6;20,12.3,29
1646,Lal. 44541,22,40.9,29,56,22h44m41.5393s,+30d27m30.6182s,29,4753.0,6.5,K0,0.441,-0.266,-0.249,0.02,5;18,12.3,33
1647,AG Chr. 3703,22,55.1,68,29,22h58m33.7877s,+69d01m08.8169s,68,1345.0,8.4,K0,0.659,0.587,0.589,0.024,5;20,12.4,31
1648,Phi Aqr,23,9.1,-6,35,23h14m10.4858s,-06d02m19.9735s,-6,6170.0,4.4,4.4 Ma,0.195,0.033,0.032,0.006,8;31,12.4,31
1649,11 And,23,14.8,47,5,23h18m39.9066s,+47d37m48.3084s,47,4110.0,5.4,K0,0.058,0.015,0.014,0.016,4;16,12.4,31
1650,Grb. 4220,23,59.5,66,37,00h04m09.5493s,+67d10m24.5318s,66,1679.0,5.8,K0,0.098,0.092,0.084,0.004,6;25,12.4,33
1651,Eta Psc,1,26.1,14,50,01h31m20.9853s,+15d20m56.3886s,14,231.0,3.7,G5,0.027,0.026,0.026,0.017,5;21,12.3,38
1652,Delta Tri,2,10.9,33,46,02h15m56.802s,+34d13m56.5246s,33,395.0,5.1,G0,1.18,1.155,1.141,0.081,4;16,12.4,47
1653,37 Tau,3,58.8,21,49,04h03m54.1528s,+22d05m35.0638s,21,585.0,4.5,K0,0.109,0.092,0.097,0.01,4;18,12.7,32
1654,Lal. 11196,5,50.3,13,55,05h55m40.5061s,+13d56m02.6158s,13,1036.0,6.5,G5,0.609,0.389,0.371,0.038,4;18,12.3,37
1655,Mu Gem,6,16.9,22,34,06h22m02.6705s,+22d31m13.7869s,22,1304.0,3.2,Ma,0.129,0.06,0.075,0.016,5;21,12.1,35
1656,Zeta Gem,6,58.2,20,43,07h03m55.9636s,+20d34m12.9911s,20,1687.0,var,G0p,0.005,-0.004,-0.008,0.01,3;17,12.1,38
1657,Tau Gem,7,4.8,30,25,07h10m22.2565s,+30d15m20.7072s,30,1439.0,4.5,K0,0.055,-0.026,-0.018,0.006,4;17,12.1,31
1658,Delta Cnc,8,39.0,18,31,08h44m41.0851s,+18d09m19.1548s,18,2027.0,4.2,K0,0.236,-0.014,-0.015,0.024,6;24,12,33
1659,Iota Cnc,8,40.6,29,8,08h46m03.3874s,+28d46m11.2789s,29,1824.0,4.2,G5,0.051,-0.02,-0.009,0.008,5;20,12.4,32
1660,7 Sex,9,47.0,2,55,09h52m10.7602s,+02d26m51.2702s,3,2280.0,5.9,A0,0.203,-0.183,-0.168,0.004,5;21,12.3,37
1661,Lambda Boo,14,12.6,46,33,14h15m50.1931s,+46d05m08.0166s,46,1949.0,4.3,A0,0.24,-0.184,-0.169,0.028,7;25,12.1,36
1662,Grb. 2152,14,45.2,38,13,14h48m57.8446s,+37d48m04.3686s,38,2593.0,6,F0,0.28,-0.26,-0.25,0.014,7;24,12.1,31
1663,44 B00 A,15,0.5,48,3,15h03m22.2048s,+47d39m33.0077s,48,2259.0,5.3,G0,0.409,-0.049,-0.438,0.095,7;23,12.4,32
1664,Grb. 2389,16,50.4,43,0,16h53m08.6197s,+42d50m10.3484s,43,2659.0,6.7,G0,0.35,0.114,0.114,0.032,5;19,12.5,33
1665,Lal. 31132,16,59.8,47,12,17h01m48.2695s,+47d03m24.5866s,47,2420.0,6.7,G0,0.85,0.123,0.127,0.058,4;16,12.7,37
1666,Lal. 31174,17,3.4,4,34,17h07m57.1631s,+04d26m07.6056s,4,3336.0,7.2,G0,0.215,-0.058,-0.053,0.011,6;23,12.4,32
1667,72 Her,17,16.9,32,36,17h19m43.5254s,+32d29m53.5308s,32,2896.0,5.4,G0,1.054,0.126,0.134,0.073,4;21,12.3,58
1668,Fed 2895,17,25.3,67,23,17h24m51.0036s,+67d17m54.4075s,67,1014.0,6.3,K0,0.529,-0.529,-0.538,0.08,6;21,13.1,32
1669,Mu Her,17,42.5,27,47,17h45m57.2062s,+27d44m39.9847s,27,2888.0,3.5,G5,0.812,-0.313,-0.348,0.131,6;28,12.3,52
1670,Xi Her,17,53.9,29,16,17h56m52.5311s,+29d15m15.7474s,29,3156.0,3.8,K0,0.087,0.085,0.088,0.013,6;23,12.2,32
1671,35 Dra,17,53.9,76,59,17h48m30.2406s,+76d57m39.1366s,76,667.0,5,F5,0.245,0.038,0.048,0.028,7;23,12.5,31
1672,Lal. 33439,18,6.3,38,27,18h09m21.2993s,+38d28m07.1625s,38,3095.0,6.4,K0,0.567,-0.31,-0.316,0.085,4;18,12.6,42
1673,109 Her,18,19.4,21,43,18h23m14.3172s,+21d46m04.485s,21,3411.0,3.9,K0,0.316,0.194,0.19,0.026,6;26,12.3,47
1674,110 Her,18,41.4,20,27,18h45m18.2988s,+20d33m15.2375s,20,3926.0,4.3,F5,0.338,-0.014,-0.011,0.044,4;20,12.3,51
1675,111 Her,18,42.6,18,4,18h46m24.4661s,+18d10m24.267s,18,3823.0,4.4,A3,0.129,0.067,0.067,0.018,5;21,12.2,37
1676,Grb. 2699,18,49.3,52,51,18h51m14.827s,+52d58m14.9586s,52,2294.0,5.6,G5,0.272,-0.047,-0.008,0.035,5;19,12.4,32
1677,Br. 2388,18,53.3,32,46,18h56m43.6133s,+32d53m55.327s,32,3267.0,5.2,G0,0.231,0.165,0.196,0.052,4;16,12.4,32
1678,Theta Lyr,19,12.9,37,57,19h15m28.1981s,+38d07m33.8932s,37,3398.0,4.5,K0,0.005,-0.005,0.001,0.02,5;19,12.5,31
1679,Kappa Cyg,19,14.8,53,11,19h16m17.8143s,+53d21m45.6179s,53,2216.0,4,K0,0.135,0.057,0.062,0.017,4;17,12.4,33
1680,Beta 1 Cyg,19,26.7,27,45,19h30m01.9093s,+27d57m31.0852s,27,3410.0,3.2,cmp,0.009,-0.003,0.004,0.013,5;22,12.4,33
1681,Beta 2 Cyg,19,26.7,27,45,19h30m01.9093s,+27d57m31.0852s,27,3411.0,5.4,B9,0.013,-0.013,0.003,0.016,5;21,12.4,32
,mean,,,,,0,0,,,,,,,,0.015,4,,
1682,Theta Cyg,19,33.8,49,59,19h35m40.9345s,+50d12m22.0963s,49,3062.0,4.6,F5,0.252,-0.028,-0.006,0.044,4;17,12.5,34
1683,Beta Sge,19,36.6,17,15,19h40m29.3763s,+17d28m53.2597s,17,4048.0,4.4,K0,0.37,0.004,0.007,0.003,4;20,12.4,49
1684,Beta Aql,19,50.4,6,9,19h54m54.413s,+06d24m44.6183s,6,4357.0,3.9,K0,0.485,0.039,0.042,0.068,5;21,12.3,38
1685,15 Sge,19,59.6,16,48,20h03m32.2479s,+17d04m51.9104s,16,4121.0,5.9,G0,0.578,-0.402,-0.392,0.059,4;20,12.4,49
1686,27 Cyg,20,2.6,35,42,20h05m44.6109s,+35d59m11.5026s,35,3959.0,5.5,K0,0.496,-0.232,-0.235,0.032,4;18,12.5,32
1687,24 Vul,20,12.5,24,22,20h16m16.5733s,+24d40m27.4349s,24,4075.0,5.4,K0,0.021,0.011,0.013,0.0,4;15,12.6,34
1688,Grb. 3215,20,29.3,41,33,20h32m33.103s,+41d53m25.7181s,41,3799.0,7,G5,0.476,-0.164,-0.146,0.056,4;15,12.4,31
1689,56 Cyg,20,46.5,43,41,20h49m31.8301s,+44d03m19.8292s,43,3739.0,5.1,A5,0.181,0.122,0.109,0.01,6;22,12.4,37
1690,Xi Cyg,21,1.3,43,32,21h04m38.0993s,+43d55m54.7982s,43,3800.0,3.9,K5,0.004,0.003,0.006,0.036,5;19,12.3,32
1691,Alpha Equ,21,10.8,4,50,21h14m59.5187s,+05d14m52.6122s,4,4635.0,4.1,F8p,0.102,0.054,0.052,0.018,5;18,12.6,34
1692,Br. 2792,21,21.7,46,17,21h24m38.2035s,+46d42m51.3529s,46,3305.0,5.5,F0,0.198,0.192,0.187,0.038,4;15,12.2,32
1693,71 Cyg,21,25.8,46,6,21h28m40.677s,+46d32m13.3841s,45,3558.0,5.3,K0,0.111,0.045,0.046,0.018,3;13,12.3,31
1694,Mu Cep,21,40.4,58,19,21h43m03.2736s,+58d46m29.7145s,58,2316.0,var,Ma,0.002,0,0.008,-0.003,4;16,12.4,35
1695,Iota Peg,22,2.4,24,51,22h06m37.1204s,+25d20m14.5698s,24,4533.0,4,F5,0.296,0.295,0.272,0.072,5;18,12.2,33
1696,Epsilon Cep,22,11.4,56,33,22h14m35.31s,+57d02m49.2594s,56,2741.0,4.2,F0,0.447,0.444,0.462,0.029,5;19,12.3,31
1697,Lal. 43492,22,12.3,12,24,22h16m54.0573s,+12d53m55.7345s,12,4797.0,6.9,G0,0.851,0.845,0.839,0.03,4;17,12.5,33
1698,Delta Cep,22,25.5,57,54,22h28m42.326s,+58d24m41.3009s,57,2548.0,var,G0,0.012,0.012,-0.022,0.007,6;25,12.1,36
1699,Tau Peg,23,15.7,23,12,23h19m56.6802s,+23d44m50.1711s,22,4810.0,4.6,A5,0.029,0.028,0.026,0.027,7;28,12.2,35
1700,27 Psc,23,53.6,-4,7,23h58m07.5605s,-03d33m35.7956s,-4,5996.0,5.1,K0,0.086,-0.052,-0.068,0.025,4;17,12.5,35
1701,23 And,0,8.3,4,29,00h13m07.9001s,+05d02m22.4487s,40,29.0,5.7,A5,0.196,0.124,-0.125,0.022,7;22,12.3,31
1702,41 And,1,2.3,43,25,01h07m43.0294s,+43d57m04.8388s,43,234.0,5.2,A2,0.175,0.168,0.163,0.026,6;22,12.2,30
1703,Mayer 136,3,47.4,17,2,03h52m42.2262s,+17d19m58.1407s,16,523.0,6,F0,0.151,0.147,0.137,0.028,5;21,12,32
1704,59 Per,4,35.8,43,10,04h42m05.3023s,+43d21m37.549s,43,1043.0,5.2,A0,0.069,0.046,0.044,0.014,5;21,12.2,30
1705,Phi Aur,5,21.0,34,23,05h27m37.8751s,+34d28m10.8408s,34,1048.0,5.3,K0,0.056,0.006,-0.005,0.009,5;21,12.3,30
1706,W Gem,6,29.2,15,25,06h34m43.7878s,+15d20m22.1626s,15,1246.0,Var,G5,0.012,0.012,0.002,0.01,5;22,12.3,32
1707,6 Hya,8,35.3,-12,7,08h39m44.8658s,-12d28m10.8622s,-11,2420.0,5.2,K2,0.083,-0.083,-0.075,0.017,5;20,12,31
1708,Br 1306,9,13.8,51,41,09h19m57.2381s,+51d15m44.3593s,51,1495.0,6.1,F2,0.142,-0.037,-0.027,0.034,6;25,12.5,32
1709,Lal 22632,11,57.4,43,39,12h02m07.6261s,+43d05m35.424s,43,2182.0,6.8,K0,0.626,-0.351,-0.337,0.011,6;24,12.6,32
1710,Lal 22810,12,4.6,40,49,12h09m04.1275s,+40d15m36.2357s,41,2276.0,7.4,K0,0.323,-0.315,-0.303,0.032,8;29,11.8,31
1711,Lal 24587,13,9.2,40,41,13h13m32.561s,+40d09m11.5755s,40,2633.0,5,K0,0.041,-0.041,-0.065,0.002,6;21,12.2,31
1712,Grb 2116,14,25.7,42,15,14h28m55.338s,+41d48m13.6227s,42,2508.0,6.4,G0,0.262,0.157,0.151,0.031,7;24,12.4,32
1713,Chi Ser,15,37.1,13,10,15h41m42.1509s,+12d50m45.5882s,13,2982.0,5.3,A0p,0.047,0.04,0.044,0.027,6;21,11.9,30
1714,20 Oph,16,44.3,-10,36,16h49m31.3314s,-10d46m29.7299s,-10,4394.0,4.7,F5,0.135,0.089,0.107,0.011,8;28,12.7,30
1715,AOe 17415,17,37.0,68,26,17h36m31.4882s,+68d22m37.1025s,68,946.0,9.1,M3,1.334,-0.376,-0.324,0.218,6;21,12.3,31
1716,Zeta Sct,18,18.2,-8,59,18h23m28.3673s,-08d55m58.8506s,-9,4712.0,4.8,G5,0.064,0.046,0.051,0.01,6;21,12.2,29
1717,Bon 12845,19,15.7,41,28,19h18m15.4722s,+41d38m57.8569s,41,3306.0,8.8,K1,0.66,0.056,0.121,0.036,6;22,12.7,32
1718,70 Aql,20,31.5,-2,54,20h36m12.3755s,-02d33m14.8152s,-3,4961.0,5.2,K5,0.013,0.01,0.017,0.015,6;24,12.4,31
1719,Mu Cyg,21,39.7,28,17,21h43m26.0639s,+28d44m28.1573s,28,4169.0,4.4,F5,0.374,0.285,0.294,0.044,5;17,12.3,31
1720,40 Peg,22,34.0,19,0,22h38m50.7338s,+19d31m12.7683s,18,5014.0,5.8,G5,0.115,-0.045,-0.054,0.01,7;27,12.2,31
1721,41 H Cep,23,43.1,67,15,23h47m46.8089s,+67d48m20.5099s,67,1562.0,5,A0,0.012,0.012,0.016,0.005,7;25,12,31
1722,12 Cas,0,19.3,61,17,00h24m30.7791s,+61d50m15.5527s,61,69.0,5.4,B9,0.012,0.011,0.011,0.012,7;25,12.4,34
1723,Pi Cas,0,37.9,46,29,00h42m31.9212s,+47d01m54.4773s,46,146.0,5,A5,0.041,-0.024,-0.021,0.018,5;20,12.2,31
1724,40 Cas,1,30.5,72,32,01h37m59.4114s,+73d02m38.3665s,72,86.0,5.5,K0,0.014,-0.008,-0.019,0.016,6;23,12.1,32
1725,AOe 1867,1,36.8,63,20,01h43m00.5679s,+63d50m18.6013s,63,229.0,8.2,K2,0.702,-0.395,-0.394,0.077,5;18,11.9,38
1726,Lal 6436,3,24.7,19,46,03h29m45.4438s,+20d06m41.8462s,19,547.0,7.9,G5,0.17,0.161,0.15,0.033,5;25,12.3,36
1727,19 Cam,5,27.6,64,5,05h36m40.7489s,+64d09m05.6818s,64,536.0,6,B9,0.068,0.008,0.002,0.006,5;24,12.4,30
1728,Lal 11374,5,56.3,32,38,06h02m32.9653s,+32d38m06.322s,32,1166.0,6.2,F5,0.227,0.082,0.084,0.026,5;23,12.2,31
1729,Lal 11936,6,10.5,0,28,06h15m08.4383s,+00d26m10.0845s,0,1234.0,5.7,F5,0.275,-0.162,-0.156,0.038,5;20,12.1,30
1730,36 Gem,6,45.6,21,53,06h50m59.7384s,+21d46m03.2178s,21,1405.0,5.2,A0,0.036,-0.007,-0.007,0.009,5;21,12.2,32
1731,25 H Cam,7,10.1,82,36,07h31m01.2076s,+82d24m29.7624s,82,201.0,5.1,Mb,0.041,0,0.005,0.0,4;18,12.3,32
1732,27 Mon,7,54.7,-3,24,07h59m00.1742s,-03d40m15.6982s,-3,2157.0,5.1,K0,0.054,-0.054,-0.041,-0.001,5;21,12.3,35
1733,32 Lyn,8,26.9,36,47,08h32m26.3737s,+36d26m45.0819s,36,1836.0,6.1,F2,0.141,-0.141,-0.138,0.032,7;28,12.5,30
1734,Alpha Cnc,8,53.0,12,15,08h58m27.9431s,+11d51m49.1619s,12,1948.0,4.3,A3,0.051,0.035,0.037,0.016,4;18,11.8,31
1735,Lal 18286,9,12.0,29,0,09h17m55.8177s,+28d34m53.0564s,29,1883.0,7.3,K0,0.511,0.07,0.065,0.047,6;23,12.3,33
1736,26 Uma,9,28.0,52,30,09h34m51.7053s,+52d03m22.043s,52,1402.0,4.6,A0,0.077,-0.064,-0.059,0.018,6;24,12.2,31
1737,53 Leo,10,44.0,11,4,10h49m15.4113s,+10d32m17.2644s,11,2283.0,5.3,A0,0.032,-0.006,0.009,0.001,8;30,12.1,34
1738,57 UMa,11,23.7,39,53,11h28m23.8754s,+39d19m57.8259s,40,2433.0,5.3,A2,0.052,-0.051,-0.047,0.019,5;20,12.3,34
1739,11 Vir,12,5.0,6,22,12h10m06.9169s,+05d48m36.511s,6,2559.0,5.7,F0,0.161,-0.16,-0.157,0.016,5;20,12,39
1740,Lal 24652,13,11.9,17,33,13h15m54.2849s,+17d01m17.5005s,17,2611.0,6.6,K0,0.686,0.63,0.622,0.097,6;24,12.2,39
1741,Lal 25372,13,40.7,15,26,13h44m51.7128s,+14d55m52.3284s,15,2620.0,8.5,K2,2.299,1.778,1.792,0.185,6;22,12.2,49
1742,22 Boo,14,21.8,19,41,14h25m39.747s,+19d13m54.8373s,19,2810.0,5.4,A5,0.074,-0.072,-0.014,0.002,7;25,12.3,33
1743,39 Boo A,14,46.3,49,8,14h49m24.9294s,+48d43m08.5968s,49,2326.0,6.1,F6,0.117,-0.077,-0.066,0.008,7;21,12.1,33
1744,39 Boo B,,,,,0,0,,,7.1,F1,,,-0.071,0.005,7;23,12.1,33
,Mean,,,,,0,0,,,,,,,-0.068,0.006,5,,
1745,36 Ser,15,46.1,-2,47,15h51m13.142s,-03d05m07.285s,-2,4058.0,5.2,A2,0.096,-0.09,-0.06,-0.002,6;22,11.8,33
1746,WB 1323,15,54.5,28,1,15h58m06.7939s,+27d43m48s,28,2503.0,8.1,K0,0.821,-0.761,-0.744,0.044,6;24,12.4,35
1747,AOe 16069,16,13.4,60,54,16h14m33.7034s,+60d39m03.8329s,61,1574.0,7.6,G5,0.447,0.037,0.042,0.038,4;17,11.9,32
1748,Lal 29859,16,18.6,17,42,16h22m28.9873s,+17d27m54.757s,17,3012.0,8.1,G0,0.325,-0.14,-0.131,0.02,7;25,12.1,33
1749,Zeta Her A,16,37.5,31,47,16h40m50.0006s,+31d35m25.51s,31,2884.0,3,G0,0.608,-0.47,-0.462,0.096,4;23,10.2,57
1750,21 Oph,16,46.3,1,23,16h51m04.5051s,+01d12m45.0405s,1,3323.0,5.5,A0,0.028,-0.027,-0.019,0.02,6;25,12.3,34
1751,Grb 2391,16,47.5,77,41,16h42m32.2777s,+77d30m13.6108s,77,634.0,6,F2,0.212,0.051,0.072,0.033,5;20,12.3,31
1752,WB 322,17,20.8,2,14,17h25m02.3492s,+02d08m33.6511s,2,3312.0,7.9,K5,1.333,-0.588,-0.593,0.126,5;21,12.7,42
1753,Pi 180,17,34.3,3,37,17h38m59.0509s,+03d33m34.7656s,3,3465.0,6.6,K0,0.208,-0.181,-0.177,0.08,6;22,12.4,31
1754,70 Oph A,18,0.4,2,31,18h05m01.5064s,+02d31m21.998s,2,3482.0,4.3,K1,1.126,0.255,0.243,0.191,4;19,10,42
1755,70 Oph B,,,,,0,0,,,6,K6,,,0.243,0.199,9;28,10,27
,Mean,,,,,0,0,,,,,,,0.243,0.193,4,,
1756,Lal 34419,18,29.0,30,29,18h32m49.3175s,+30d33m29.5727s,30,3223.0,5.4,B8,0.007,0.005,0.003,0.005,6;24,12.3,31
1757,62 Ser,18,50.6,6,29,18h54m52.4506s,+06d36m34.6813s,6,3978.0,5.7,G5,0.091,0.015,0.023,0.011,4;18,12.4,35
1758,Lal 36663,19,19.8,33,1,19h22m45.5973s,+33d12m32.8626s,32,3411.0,6.5,K0,0.183,0.08,0.076,0.055,3;14,12.5,33
1759,Lal 36868,19,25.5,-6,43,19h30m21.7596s,-06d30m31.6309s,-6,5170.0,7.3,G0,0.198,-0.137,-0.145,0.04,5;21,12.4,34
1760,Zeta Sge AB,19,44.5,18,53,19h48m26.2074s,+19d07m56.1744s,18,4254.0,5,A2,0.031,0.016,0.015,0.003,3;18,10.4,47
1761,Lal 37785,19,45.0,35,4,19h48m43.2036s,+35d19m01.1942s,34,3727.0,6.5,F5,0.101,0.081,0.081,0.018,5;18,12.1,36
1762,67 Aql,20,9.6,14,54,20h13m37.1899s,+15d12m06.7303s,14,4227.0,5,A0,0.075,0.052,0.054,0.018,6;24,12.2,34
1763,5 Del,20,33.0,11,2,20h37m46.7635s,+11d22m57.3932s,10,4339.0,5.4,A2,0.036,0.035,0.04,0.02,5;20,12.3,34
1764,Grb 3295,20,44.9,52,3,20h46m57.9363s,+52d25m04.9201s,51,2954.0,6.3,G5,0.171,0.064,0.075,0.016,5;18,12.3,34
1765,Lal 41144,21,7.5,23,45,21h11m27.1277s,+24d09m33.3711s,23,4264.0,8,F8,0.442,0.424,0.45,0.018,6;21,12.3,34
1766,4 Peg,21,33.5,5,19,21h37m59.743s,+05d45m59.1709s,5,4834.0,5.8,F0,0.112,0.109,0.104,0.03,5;17,12.3,30
1767,D' Ag 5947,21,49.4,27,52,21h53m29.3714s,+28d20m16.4872s,27,4191.0,6.7,A2,0.197,-0.163,-0.162,0.001,5;17,12.2,33
1768,WB 82,22,5.9,22,18,22h09m41.2012s,+22d47m27.2493s,22,4567.0,8.8,K4,0.585,-0.583,-0.581,0.032,5;20,12.5,50
1769,Lal 43974,22,26.1,-7,4,22h31m13.5834s,-06d33m12.675s,-7,5797.0,6.2,F8,0.196,0.167,0.163,0.043,7;24,12.3,32
1770,AOe 25734,23,28.2,62,36,23h32m33.6539s,+63d09m07.7534s,62,2244.0,7.4,G5,0.435,0.433,0.436,0.028,7;23,12.4,30
1771,Lal 46154,23,28.5,42,17,23h32m51.5993s,+42d50m07.9209s,42,4700.0,7.2,G0,0.293,0.234,0.252,0.039,6;21,12.4,31
1772,Iota And,23,33.2,42,43,23h37m54.0679s,+43d16m13.093s,42,4720.0,4.3,B8,0.025,0.025,0.041,0.003,7;24,12.2,31
1773,85 Peg,23,56.9,26,33,00h01m06.9625s,+27d06m24.54s,26,4734.0,5.8,G0,1.294,0.836,0.815,0.085,6;27,11.6,44
1774,52 Psc,0,27.3,19,45,00h32m13.6641s,+20d18m07.8656s,19,79.0,5.5,G5,0.136,0.128,0.134,0.031,6;24,12.9,34
1775,Lal 1171,0,39.6,54,40,00h44m41.9705s,+55d12m51.2499s,54,143.0,5.5,A0,0.027,-0.027,-0.026,0.008,6;25,12.1,35
1776,47 Cas,1,55.1,76,48,02h04m57.7361s,+77d16m56.1886s,76,63.0,5.4,F0,0.35,0.125,0.115,0.024,7;28,12.2,32
1777,43 Per,3,49.2,50,24,03h56m25.3678s,+50d41m36.9841s,50,860.0,5.5,F5p,0.16,0.095,0.092,0.033,5;20,12.5,33
1778,Lal 9828,5,13.5,59,11,05h21m48.0153s,+59d17m10.4566s,59,870.0,7.3,G5,0.372,0.248,0.235,0.023,6;25,12.6,31
1779,131 Tau,5,41.5,14,27,05h46m41.7874s,+14d29m21.136s,14,1025.0,5.7,A2,0.044,0.013,0.005,0.018,5;23,12.1,32
1780,Pi Aur,5,52.5,45,56,05h59m25.4547s,+45d56m37.4812s,45,1217.0,4.6,Ma,0.009,0.003,-0.004,0.001,5;22,12.1,33
1781,21 Mon,7,6.3,0,8,07h11m07.5013s,-00d01m50.8108s,0,1025.0,5.4,F0,0.033,-0.031,-0.022,0.015,5;20,12.3,32
