Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
503,Weisse 1190,19,49.2,1,41,19h54m03.6469s,+01d56m37.4895s,1,4134,8.5,K0,-0.14*,0.017,0.018,11.0,29.0,2.6,16
504,Weisse 1196,19,49.4,1,41,19h54m03.6469s,+01d56m37.4895s,1,4135,8.7,K0,+ .000*,-0.005,0.049,15.0,39.0,2.6,16
505,Eta Cygni,19,52.6,34,49,19h55m45.2823s,+35d04m55.5891s,34,3798,4,K0,-0.031,-0.014,0.007,5.0,14.0,2.8,16
506,27 Cygni,20,2.6,35,42,20h05m44.6109s,+35d59m11.5026s,35,3959,5.5,K0,-0.229,-0.219,0.022,6.0,17.0,2.9,18
507,Lal 38613,20,5.0,16,30,20h09m33.4339s,+16d47m36.9346s,16,4166,7.7,K0,- .010*,-0.009,0.015,7.0,18.0,2.6,16
508,Gr. 3150,20,16.5,66,32,20h16m50.5779s,+66d50m44.0743s,66,1281,6.1,F8,0.478,0.462,0.05,7.0,21.0,2.8,18
509,Iota Delph,20,25.5,10,34,20h29m47.1152s,+10d54m02.163s,10,4303,5.9,A0,0.019,0.029,-0.005,11.0,31.0,2.8,16
510,Kappa Delph,20,34.3,9,44,20h38m49.2708s,+10d05m04.335s,9,4600,5.2,G5,0.319,0.334,0.014,9.0,24.0,2.6,15
511,Gamma 1 Delph,20,42.0,15,46,20h46m38.5975s,+16d07m57.2676s,,,5.5,F8,-0.016,-0.011,0.019,0.006,0.015,2.6,17
512,Gamma 2 Delph,20,42.0,15,46,20h46m38.5975s,+16d07m57.2676s,,,4.5,K0,-0.029,-0.031,0.021,5.0,13.0,2.6,17
,Mean,,,,,0,0,15,4255,,G5,,,0.02,4.0,,,
513,Omega Sigma 447,21,35.6,41,16,21h38m58.3217s,+41d43m06.8154s,41,4224,8.1,K0,,-0.004,-0.001,8.0,20.0,2.5,14
514,Omega Sigma 447,21,35.6,41,16,21h38m58.3217s,+41d43m06.8154s,41,4225,8.7,K0,,0.004,-0.002,5.0,12.0,2.4,13
,Mean,,,,,0,0,,,,,,,-0.001,4.0,,,
515,Omega Sigma (App.) 226,21,50.8,67,38,21h52m12.1647s,+68d06m15.8516s,67,1370,9.6,A,,-0.009,-0.005,9.0,23.0,2.6,15
516,Omega Sigma (App.) 226,21,51.0,67,39,21h53m13.2394s,+68d07m20.5405s,67,1372,7.6,K0,,-0.012,-0.019,7.0,17.0,2.6,15
,Mean,,,,,0,0,,,,,,,-0.014,5.0,,,
517,Lal 43751,22,19.5,38,4,22h23m23.2518s,+38d34m21.1681s,37,4560,6.2,F8,+ .253*,0.261,-0.013,6.0,15.0,2.4,14
518,Fed 4220,22,33.6,72,22,22h35m31.3031s,+72d53m05.9711s,72,1050,7.5,F5,,0.081,0.034,10.0,25.0,2.4,14
519,Fed 4221,22,33.7,72,21,22h35m31.4646s,+72d52m05.9753s,72,1051,8.3,G,,0.091,0.032,9.0,21.0,2.3,12
,Mean,,,,,0,0,,,,,,,0.033,7.0,,,
520,Omega Sigma 478,22,39.6,38,56,22h43m30.6776s,+39d27m27.4274s,38,4855,6.1,K5,-0.004,-0.013,0.003,6.0,18.0,2.7,15
521,Omicron Pegasi,22,47.3,9,18,22h52m00.5689s,+09d49m50.5025s,9,5122,5.3,F5,0.517,0.516,0.028,9.0,23.0,2.6,15
522,Pi Cephei,23,4.7,74,51,23h07m09.0674s,+75d23m28.3469s,74,1006,4.6,G5,0.013,-0.016,0.003,8.0,25.0,2.8,15
523,70 Pegasi,23,24.1,12,13,23h29m03.0782s,+12d46m03.2389s,11,5009,4.7,K0,0.059,0.046,-0.011,9.0,26.0,2.8,15
