Entry Number,Field Name,Magnitude,RA,Dec,Equinox,TSC No.,TSC Name,RA1950,Dec1950
319,sigma_Persei,4.6,03 27 02,+47 49 27,1950,,,,
320,Lal_6436,7.9,03 27 36,+19 55 01,1950,,,,
321,4_Tauri,5.1,03 27 40,+11 09 58,1950,,,,
322,5_Tauri,4.3,03 28 06,+12 46 00,1950,,,,
323,36_Persei,5.4,03 28 57,+45 53 21,1950,,,,
,eplsilon_Erid,"3.8,3.73","03,03 30,32 34,55","-09,-09 37,27 36,30","1950,2000",,,,
325,Am_975,6.5,03 31 17,+17 40 12,1950,,,,
326,7_Tauri,5.9,03 31 28,+24 17 53,1950,,,,
327,Simga_422,6.0/8.3<7,03 34 13,+00 25 33,1950,,,,
328,10_Tauri,4.5,03 34 19,+00 14 39,1950,,,,
329,Ambr_990,5.3,03 37 47,+63 03 24,1950,,,,
330,W.B._617,6.7,03 37 49,-03 22 29,1950,,,,
331,Porter_246,7.1,03 38 15,-02 29 23,1950,,,,
332,delta_Persei,3.1,03 39 21,+47 37 46,1950,,,,
333,Lal_6772,7.5,03 40 21,+42 26 58,1950,,,,
334,23_Erid,3.7,03 40 51,-09 55 53,1950,,,,
335,omicron_Persei,"4.0/8.5<1""",03 41 10,+32 07 53,1950,,,,
336,Lal_6723,5.0,03 41 38,+63 11 21,1950,,,,
337,Wolf_219,15.5,03 41 42,+18 17 30,1950,,,,
338,nu_Persei,3.9,03 41 47,+42 25 20,1950,,,,
339,beta_1183,"5.6/14.7<6"".5",03 42 28,45 31 36,1950,,,,
340,Wolf_1057,14.3,03 42 30,+12 31 18,2000,,,,
341,Simga_443,"8.2/8.8<8"".4",03 43 36,+41 17 25,1950,,,,
342,26_Eridan,4.6,03 43 46,-12 15 25,1950,,,,
343,Ambr_1022,5.4,03 43 59,+70 43 08,1950,,,,
344,Ambr_1037,4.7,03 44 55,+65 22 25,1950,,,,
345,gamma_Camel,4.7,03 45 02,+71 10 51,1950,,,,
346,42_Persei,5.1,03 46 22,+32 56 22,1950,,,,
347,Maan_95,8.6,03 47 00,+01 12 19,1950,,,,
348,Lal_7116,7.5,03 49 08,+22 31 39,1950,,,,
349,Mayer_136,6.0,03 50 18,+17 10 47,1950,,,,
350,Maan_96,7.8,03 50 44,+61 01 24,1950,,,,
351,9H_Camel,"5.2/8.9<2""",04 52 51,+60 57 53,1950,,,,
352,43_Persei,5.5,03 52 52,+50 33 08,1950,,,,
353,32_Tauri,5.8,03 53 54,+22 20 08,1950,,,,
354,epsilon_Persei,3.0,03 54 29,+39 52 02,1950,,,,
355,Grb_745,8.3,03 54 48,+76 01 33,1950,,,,
356,-1o565,"8.6/12.0<11""",03 54 57,-01 18 00,1950,,,,
357,Omicron_Sigma_69,"6.4/9.1<2""",03 56 20,+38 40 45,1950,,,,
358,Wolf_1322,12.2,03 56 49,+25 57 06,1950,,,,
359,lambda_Tauri,3.5,03 57 54,+12 21 02,1950,,,,
,,,,,,,,,
361,Lal_7484,5.4,04 00 02,-00 24 11,1950,,,,
362,nu_Tauri,4.5,04 00 29,+05 51 07,1950,,,,
363,Lal_7439,7.2,04 00 44,+39 22 29,1950,,,,
364,Sigma_483,"8.0/9.5<0.""9",04 00 44,+39 22 29,1950,,,,
365,LB_1240,14.8,04 01 33,25 00 24,1950,,,,
366,+80o125,5.2,04 01 34,+80 33 56,1950,,,,
,,,,,,,,,
368,37_Tauri,4.5,04 01 44,+21 56 49,1950,,,,
369,39_Tauri,6.0,04 02 22,+21 52 32,1950,,,,
370,Omicron_Sigma_531,6.5,04 04 13,+37 56 36,1950,,,,
371,49_Persei,6.2,04 04 56,+37 55 35,1950,,,,
372,50_Persei,5.6,04 05 16,+37 54 38,1950,,,,
373,Z_10,14.4,04 07 18,+17 54 00,1950,,,,
374,45_Tauri,5.7,04 08 40,+05 23 40,1950,,,,
375,46_Tauri,5.4,04 10 51,+07 35 23,1950,,,,
376,51_Persei,4.3,04 11 13,+48 17 03,1950,,,,
377,40_Eri,"4.5/8.7<80""",04 12 58,-07 43 46,1950,,,,
378,40_Eridani_A,4.43,04 15 16,-07 39 12,2000,,,,
379,40_Eridani_B,9.53,04 15 22,-07 39 30,2000,,,,
380,40_Eridani_C,11.16,04 15 22,-07 39 30,2000,,,,
381,omega_Tauri,4.8,04 19 _,+20 30 00,1950,,,,
382,gamma_Tauri,3.9,04 16 57,+15 30 31,1950,,,,
383,Omicron_Sigma_79,7.0/9.0,04 17 03,+16 24 13,1950,,,,
384,Landolt's_Star,15.0,04 19 00,+27 18 24,2000,,,,
385,delta_Tauri,3.9,04 20 03,+17 25 37,1950,,,,
386,Omicron_Sigma_82,7.0/9.0,04 19.9 _,+14 56 _,1950,,,,
387,42_Erid.,5.2,04 21 11,-03 51 34,1950,,,,
388,65_Tauri,4.4,04 22 23,+22 10 52,1950,,,,
389,69_Tauri,4.4,04 23 19,+22 42 07,1950,,,,
390,Porter_282,7._,04 23 45,+46 44 44,1950,,,,
391,eta_Tauri,3.6,04 25 42,+19 04 16,1950,,,,
,,,,,,,,,
393,502,11.96,04 26 01,+15 52 12,1950,,,,
394,G175-34,"12.2/12.2<6"".5",04 26 40,58 53 00,1950,,,,
395,Stein_2051_A/B,11.1,04 31 04,+58 57 48,2000,,,,
396,80_Tauri,6.5/9.0,04 27 17,+15 31 49,1950,,,,
397,81_Tauri,5.5,04 27 47,+15 35 05,1950,,,,
398,587,8.93,04 27 44,+15 37.5 _,1950,,,,
399,638,12.17,04 28 54,+15 31.2 _,1950,,,,
400,86_Tauri,4.8,04 31 00,+14 44 27,1950,,,,
401,Ambr_1301,5.5,04 31 48,-09 04 18,1950,,,,
402,88_Tauri,4.4,04 32 54,+10 03 35,1950,,,,
403,alpha_Tauri,1.1,04 33 02,+16 24 37,1950,,,,
404,58_Persei,4.5,04 33 13,+41 09 50,1950,,,,
405,G39-28,9.1/15.8,04 33 42,+27 02 00,1950,,,,
406,90_Tauri,4.3,04 35 21,+12 24 44,1950,,,,
407,L_879-14,13.9,04 25 24,-08 53 00,1950,,,,
408,3_Camel,5.3,04 35 57,+52 58 52,1950,,,,
